excelRow,qid,code,outlinePath,subject,subtopic,confidence,source,reason,questionSnippet,explanationSnippet
"16","20622","63030100","Products Liability > Strict Products Liability","Torts","Strict Liability and Products Liability","high","row_text_rule","strict products liability","A woman purchased a food and beverage processing machine as a gift for her husband. The machine was manufactured by the company and was purchased by the woman from a store, a retailer. When the woman got home, she unpacked the machine, plac","If all other requirements are satisfied, strict liability may be imposed to benefit any plaintiff whose contact with the product was foreseeable, regardless of whether the plaintiff is classified as a bystander. A is therefore incorrect. A plaintiff who voluntarily encounters a known risk assumes that risk. B is incorrect, however, because the woman was not the plaintiff, and only a plaintiff is said to assume a risk. If the processing machine was defective when it left the c"
"17","18214","94030200","Removal and Remand > Remand to State Court","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","remand","After he was fired, a man filed suit in state court in State A against a company. The man's complaint alleged a single federal discrimination claim and a number of state law claims. The company removed the case to federal district court. Th","If an action is in federal court based on federal question jurisdiction, a federal court has discretion to remand the case to state court once all the federal questions have been resolved based on principles of fairness and judicial economy. See Carnegie-Mellon University v. Cohill, 484 U.S. 343 (1988). Here, considering the action was originally brought in state court and only state claims remain, it would be more practical and fair to remand the case to the state court. The"
"18","19318","54030600","Defenses to Formation or Enforcement > Mistake / Lack of Mutual Assent","Contracts","Defenses to Enforceability","manual","manual_override","manual review: unilateral/intermediary mistake in land sale","Upon inheriting her aunt's ranch, the seller subdivided it into 1,000 separate numbered parcels of realty and offered them for sale. After inspecting a parcel that had no building on it, the buyer and his attorney went to see the seller in ","If the mistake had been the seller's alone (i.e., unilateral), it would not have prevented the formation of a contract unless the buyer knew or should have known about it. For this reason, if the buyer had known that the parcel described in the writing (#341) had a building on it, while the parcel that he had inspected (#241) did not, the seller's mistake would have prevented the formation of a contract. A is incorrect, however, because the buyer did not know this at the time"
"19","20382","63030100","Products Liability > Strict Products Liability","Torts","Strict Liability and Products Liability","high","row_text_rule","strict products liability","The defendant was the manufacturer of a chemical used by photo processors. A professional photographer customarily used the chemical in his processing laboratory. On August 15, 2012, while working in his laboratory, the photographer read th","If the plaintiff's harm was produced by an unforeseeable intervening event, the product defect was not a proximate cause of it. B is incorrect, however, because intervening negligence may be (and usually is) regarded as foreseeable. If the plaintiff's injury would not have occurred but for the crack in the sewer, the crack was also a cause of harm. The existence of an additional cause of harm is not sufficient to relieve any defendant of liability, however, unless that additi"
"20","18902","83050604","Mortgages and Security Devices > Foreclosure > Proceeds","Real Property","Mortgages","high","row_text_rule","foreclosure proceeds","A man owned a home worth $200,000. He had three mortgages on the property. The first mortgage was for $150,000 and was owed to first bank. The second mortgage was for $30,000 and was owed to second bank. The third mortgage was for $10,000 a","In a foreclosure sale, the proceeds are first used to pay the attorney's fees and other expenses of the sale, the principal and interest on the foreclosed loan, and then any junior mortgages in the order of their priority. If there is anything left over, it goes to the mortgagor. On the other hand, if the proceeds are insufficient to pay the mortgage debt, the mortgagee can bring a personal action against the mortgagor unless such an action is prohibited by state law. Here, A"
"21","21778","34050101","Contents of Writings, Recordings, and Photographs > Requirement of the Original > Best evidence rule","Evidence","Writings, Recordings, and Photographs","high","row_text_rule","best evidence/original writing rule","Assuming that the appropriate objection is made, in which of the following fact situations is the offered evidence LEAST likely to be excluded under the original document rule?","In B, the defendant is charged with forging a check. This obviously places the contents of the check in issue. Since the check has not been shown to be unavailable, the best evidence rule will exclude oral testimony as to its contents. Ordinarily, an expert witness may base his or her opinion on things that are not in evidence. In C, however, the expert has based her opinion solely on her examination of the X-ray. In effect, this means that all she is really doing is telling "
"22","18095","35030202","Privileges and Public Policy Exclusions > Particular Privileges > Marital Communications Privilege","Evidence","Privileges and Other Policy Exclusions","high","row_text_rule","marital communications privilege","While the defendant and his wife were standing in line outside a movie theater, the defendant whispered to his wife that he had committed a series of robberies the previous week. The defendant was subsequently arrested and charged with the ","In jurisdictions that recognize the spousal privilege, a spouse is not permitted to testify to a confidential communication received during marriage if the spouse who made the communication objects to the testimony. For this reason, the court should exclude his wife's testimony if the defendant objects to it. In general, all evidence that tends to establish a material fact is relevant and should be admitted unless excluded by some rule of law. Since the defendant's statement "
"23","21773","63040200","Strict Liability > Possession of Animals","Torts","Strict Liability and Products Liability","high","row_text_rule","strict liability for animals","The defendant kept a pet cougar in a yard that was surrounded by a wire chain-link fence. The plaintiff, who lived in the vicinity, frequently walked on the public sidewalk adjacent to the defendant's yard. One day, while the plaintiff was ","In most jurisdictions, a person who keeps a wild animal is strictly liable for damage that it causes. The jurisdictions that do not apply this rule generally hold that keeping a wild animal is prima facie negligent. Neither rule is applied, however, unless the injury sustained by the plaintiff resulted from the wild and dangerous nature of the animal involved. Since even a domestic animal might knock over a fence that has become badly deteriorated, the plaintiff's injury did "
"24","19473","71040200","Inchoate Offenses > Conspiracy","Criminal Law and Procedure","Inchoate Crimes","manual","manual_override","manual review: conspiracy liability and withdrawal","The defendant and his friend agreed to rob a bank and planned the robbery for several weeks. According to their plan, the defendant's car would be used as the getaway vehicle. The defendant was to drive to and from the robbery and wait in t","In most jurisdictions, once a defendant has become guilty of a conspiracy (by agreeing to commit a crime), he or she cannot avoid criminal responsibility for the crime of conspiracy by withdrawing from or renouncing their plan. A, B, and C are therefore incorrect."
"25","19171","64010500","Intentional Torts > Privileges","Torts","Intentional Torts","high","row_text_rule","intentional tort privilege/defense","A man was looking out through the open window of his house when he saw a robber knock down an old woman and snatch her handbag. As the robber ran off with the woman's purse, the man grabbed a wooden board and jumped through his window. Afte","In some jurisdictions, a person defending another against a threat of immediate bodily harm is privileged to use whatever force the person being defended would have been privileged to use. In other jurisdictions, a person defending another against a threat of immediate bodily harm is privileged to use the force that reasonably appears necessary to the defendant himself or herself. Both A and B are incorrect, however, because the robber was in the process of running away at th"
"26","20013","61020302","Negligence > Breach > Negligence per se","Torts","Negligence","high","row_text_rule","negligence per se","The defendant was driving her truck across a bridge when the bridge collapsed, causing a car driven by the plaintiff to fall into the river. The plaintiff subsequently asserted a negligence claim against the defendant for injuries that he s","In some jurisdictions, the violation of a statute may be negligence per se; in others, it may raise a rebuttable presumption of negligence; and in others, it may merely raise an inference of negligence. A is incorrect, however, because negligence does not result in liability unless it was a factual cause of harm, and the defendant's violation of a statute — even if it establishes negligence — was not a cause of the plaintiff's harm. Although violation of a statute may raise a"
"27","18076","31010407","Presentation of Evidence > Witnesses > Refreshing recollection","Evidence","Presentation of Evidence","high","row_text_rule","refreshing recollection","In an action by the plaintiff against the defendant, the plaintiff claimed that the defendant breached a contract to market the plaintiff's products. At trial, the plaintiff testified that she and the defendant had reached an agreement at a","It is generally understood that even while testifying, a witness may look at any document (in fact, at anything at all) that serves to refresh his or her recollection about the matters to which he or she is testifying. Although there are dangers connected with this rule, it is thought that these can be averted by investing the judge with discretion to determine, while listening to the testimony, whether the witness's recollection has really been refreshed by consulting such a"
"28","17778","31010504","Presentation of Evidence > Impeachment > Conviction of crime","Evidence","Presentation of Evidence","high","row_text_rule","impeachment by conviction","The security guard of a warehouse was making his rounds after closing time one night when he found the defendant walking around inside the warehouse. When the guard asked him what he was doing there, the defendant replied that he had been d","It is generally understood that evidence of a person's bad character is inadmissible for the purpose of proving that he or she acted in a particular way on a particular occasion. Since evidence of a criminal conviction is evidence of character, it is usually excluded by this rule. Under FRE 609, a judgment of conviction may be admitted for the purpose of impeaching the credibility of a witness, however, because it tends to establish that the person convicted is untrustworthy."
"29","19890","31010402","Presentation of Evidence > Witnesses > Form and scope of examination","Evidence","Presentation of Evidence","high","row_text_rule","form and scope of examination","The plaintiff asserted a claim against the defendant for injuries that the plaintiff received when she was struck by a truck owned by the defendant and driven by one of the defendant's employees. At trial, the plaintiff's attorney called a ","Leading questions may also be asked of hostile witnesses. B is incorrect, however, because a hostile witness is one who has manifested hostility or prejudice under examination, and there is no indication that the witness did so. While leading questions are permitted on cross-examination, C is incorrect because the question was asked on direct examination. (Note: The facts indicate that the witness was called by the plaintiff's attorney to testify on the presentation of the pl"
"30","21621","61020104","Negligence > Duty > Affirmative duties to act","Torts","Negligence","manual","manual_override","manual review: landholder created risk imposing affirmative duty to protect children","The defendant was the operator of a summer camp for children. The plaintiff was a nine-year-old child staying at the camp, her parents having paid the defendant a fee. The plaintiff was playing softball with other children on a field that t","Many jurisdictions have held that a landholder is not obligated to protect even invitees against dangers that result solely from natural conditions of the land. Since the way softball is played and the nature of children make it foreseeable that children using the field would run into the bushes, however, the defendant's designation of the field as a playing field for children resulted in a risk greater than that created by nature (i.e., the tree root's existence). Her creati"
"31","19904","83050603","Mortgages and Security Devices > Foreclosure > Parties and priorities","Real Property","Mortgages","high","row_text_rule","foreclosure parties/priorities","Upon borrowing money from her accountant, the landowner executed a note and a mortgage on her realty in favor of her accountant. The accountant immediately and properly recorded the mortgage. One month later, the landowner borrowed money fr","One who inherits an interest in realty takes it subject to any existing prior interests. Since the landowner's accountant and brother received interests prior to the death of the landowner, and since both of those interests were immediately recorded, the landowner's nephew and niece took their interests in the realty subject to those of the accountant and the brother. Thus, the accountant is entitled to succeed in a foreclosure proceeding. Because of the constitutional requir"
"32","19031","63030100","Products Liability > Strict Products Liability","Torts","Strict Liability and Products Liability","high","row_text_rule","strict products liability","The defendant was the manufacturer of a gas sold for commercial use. The defendant produced the gas at its factory and stored it in a large tank located behind the factory building. Although the defendant made reasonable inspections of its ","One who places a defective product — whether defective in design or in manufacture — in the stream of commerce may be held strictly liable for damage resulting from the product defect. A is incorrect, however, because the defendant did not place the tank in the stream of commerce. B and C are incorrect because the defendant did not place the gas that injured the plaintiff in the stream of commerce."
"33","18370","55020201","Formation > Consideration > Bargain and exchange","Contracts","Formation of Contracts","high","row_text_rule","bargain and exchange consideration","The homeowner, who owned a home in a residential development, decided to have his driveway paved. He called the plaintiff, a licensed contractor who specialized in residential driveways, and asked for an estimate on the job. Although the st","Ordinarily, a promise is not enforceable unless something of value (i.e., consideration) was given in return for it. Since the plaintiff paved the driveway before the neighbor promised to pay, he could not have done so in return for the promise. The paving job, therefore, could not have been consideration for the neighbor's promise. Under the view of the Restatement (2d) of Contracts, however, a promise made in recognition of a benefit previously received by the promisor from"
"34","19325","32020700","Relevance > Authentication and Identification","Evidence","Relevancy and Excluding Relevant Evidence","high","row_text_rule","authentication and identification","At the jury trial of an action by a bank against the defendant on a promissory note, the defendant testified that the signature on the note was not his. An employee of the bank testified that she recognized the signature as the defendant's.","Ordinarily, a relevant object is admissible into evidence if a witness testifies that he or she recognizes it. Because writings are particularly subject to fraud, however, special rules have developed regarding their admission. Where the legal significance of a writing depends upon its authorship, the writing cannot be admitted unless the court (i.e., judge) finds that there is sufficient evidence to warrant a finding regarding its authorship. Unless the court determines that"
"35","19324","75070202","Fourth Amendment > Searches and Seizures > Exceptions to warrant requirement","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","search warrant exceptions","After police officers arrested the defendant for driving with a suspended license, the officers handcuffed the defendant and placed him in their patrol car. The police officers then searched the defendant's car and discovered cocaine in the","Police may search a vehicle incident to a recent occupant's arrest only if the arrestee is within reaching distance of the passenger compartment at the time of the search or it is reasonable to believe the vehicle contains evidence of the offense of arrest. When these justifications are absent, a search of an arrestee's vehicle will be unreasonable unless police obtain a warrant or show that another exception to the warrant requirement applies. Here, the defendant was secured"
"36","18232","62050102","Other Torts > Nuisance > Private","Torts","Other Torts","high","row_text_rule","private nuisance","The company is the manufacturer of an agricultural insecticide. Since the county in which the company is located is primarily devoted to farming, the company has manufactured the agricultural insecticide at its factory there for the past 50","Private nuisance is a tortious interference with the plaintiff's right to use and enjoy real property in which he or she has a present or future possessory interest. In effect, a plaintiff suing a defendant for private nuisance is claiming that the defendant's use of its realty unreasonably violates the plaintiff's right to use his or her realty. For this reason, in deciding a claim for private nuisance, the courts must balance the rights of the plaintiff and defendant in an "
"37","20616","62050102","Other Torts > Nuisance > Private","Torts","Other Torts","manual","manual_override","manual review: private nuisance from airport operation","The plaintiff purchased realty in the county in 2000 and has lived on it since then. The realty is located approximately one mile from a private airport owned and operated by the defendant. At the time of the plaintiff's purchase, county or","Private nuisance is a tortious interference with the plaintiff's right to use and enjoy realty, and it may be committed without any physical intrusion onto the realty. Although the county ordinance permitted use of the airport by certain aircraft, the defendant could still be liable for private nuisance if he was operating the airport in a manner other than that contemplated by the ordinance. While it is not certain that the plaintiff would recover on this theory, private nui"
"38","17025","75070100","Fourth Amendment > Arrest and Detention","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","arrest/probable cause","After being informed that members of a college fraternity were engaged in the unlawful sale of cocaine, police officers obtained a warrant to search the fraternity house. While searching, the officers discovered the defendant, a guest of on","Probable cause means a belief that the defendant is guilty, supported by facts that would lead a reasonable person to entertain such a belief. While it is not certain that the officers had probable cause to believe the defendant guilty, the argument set forth in B is the only one listed that might provide the prosecution with an effective argument in response to the defendant's motion. It is sometimes said that evidence discovered by violating a defendant's rights is inadmiss"
"39","21821","64010101","Intentional Torts > Intentional Torts to the Person > Assault","Torts","Intentional Torts","high","row_text_rule","assault","The seller and the buyer entered into a valid written contract for the sale of the seller's home to the buyer. Subsequently, the seller's neighbor, the defendant, telephoned the seller and said, “If you don't back out of your contract with ","Since it was obvious from the defendant's statement that the threatened harm would not occur until sometime in the future, A would be an effective defense and is therefore incorrect. Since the threat was of harm to the seller's children and not to the seller, C would be an effective defense and is therefore incorrect. Courts have generally argued (although this argument is not always credible) that apprehension induced by the defendant's mere use of words is not reasonable. T"
"40","19024","55020201","Formation > Consideration > Bargain and exchange","Contracts","Formation of Contracts","high","row_text_rule","bargain and exchange consideration","A man was at the beach when he saw a small dog being washed out to sea. He jumped into the ocean and rescued the dog. As soon as the man and the dog were back on the beach, the dog's owner ran up to the man and said, “That's my prize show d","Since the man had already rescued the dog without expecting compensation, the rescue was not given in exchange for or to induce the dog owner's promise. A is therefore incorrect. In determining whether to rescind a contract because of mutual mistake, fraud, duress, or undue influence, the court may attempt to decide whether its failure to rescind would unjustly enrich one of the parties. Ordinarily, however, the fact that a party will be unjustly enriched by something is not "
"41","18237","81020500","Non-Possessory Rights and Interests in Land > Equitable Servitudes / Restrictive Covenants","Real Property","Rights in Land","manual","manual_override","manual review: restrictive covenant/equitable servitude enforcement","After inheriting a large tract of land, the landowner subdivided it into 60 numbered lots pursuant to state law, filing a plat map and development scheme that indicated that all lots in the subdivision would be restricted to residential use","Since the restriction to residential use was contained in the deed by which the sister received her interest in Lot 2, there is no question about whether the restriction is enforceable against her. But since her brother was not a party to the transaction in which the restriction on his sister's use was created (i.e., the conveyance of Lot 2), a question exists about whether that restriction is enforceable by the brother. The facts are unclear about who purchased first. (If th"
"42","18379","85030300","Real Property Contracts > Marketable Title","Real Property","Contracts for Land","manual","manual_override","manual review: marketable title defeated by easement encumbrance","By a contract calling for the delivery of marketable title, the seller agreed to sell the buyer a parcel of realty consisting of four adjacent lots. On the date set for closing, the seller informed the buyer that one of the four lots was en","Since the sales contract called for delivery of marketable title to a parcel consisting of four lots, the buyer could not be required to accept anything less. Outstanding encumbrances — including easements — make a title unmarketable. Since one of the four lots was encumbered by an easement, the seller was unable to deliver marketable title and was, therefore, in breach of contract. A covenant against encumbrances is breached if an encumbrance exists at the time of conveyance"
"43","19944","73020700","Crimes against the Person > Rape","Criminal Law and Procedure","Other Crimes","manual","manual_override","manual review: statutory rape/rape offense","A boy and a girl were dating when they decided it was time for them to try sexual intercourse. The girl was 17 years old. A statute in the jurisdiction provided that any male who has sexual intercourse with a female whom he knows to be unde","So long as a male defendant is old enough to be convicted of a crime, he may be convicted of statutory rape even though his age is the same as or younger than that of the female victim. A is therefore incorrect. Intoxication is a defense to a criminal charge only if it made the defendant incapable of possessing the necessary state of mind required. C is incorrect because there is no indication that the boy's intoxication affected his knowledge regarding the girl's age or prev"
"44","18516","31010403","Presentation of Evidence > Witnesses > Lay opinion testimony","Evidence","Presentation of Evidence","high","row_text_rule","lay opinion testimony","The plaintiff asserted a negligence claim against the defendant for personal injuries sustained when the plaintiff fell down a stairway while leaving the defendant's restaurant. The defendant asserted a defense of contributory negligence. A","So long as they do not go beyond matters in common knowledge, lay opinions about the physical and mental condition of another are usually admissible. For this reason, an opinion that another person was intoxicated is admissible (so long as it is rationally based on the witness's perceptions) even if the witness is not an expert on intoxication. B and C are therefore incorrect. The admissibility of opinion evidence is a question of law for the judge. This means that the judge "
"45","18432","85030103","Real Property Contracts > Land-Sale Contracts > Time for performance","Real Property","Contracts for Land","high","row_text_rule","land-sale time for performance","After negotiation, the buyer and the seller entered into a valid written contract for the sale to the buyer of the seller's realty. The contract provided for closing of title “on or before June 15” because the buyer was moving into the area","Sometimes the phrase “time is of the essence” is inserted in a contract to make it clear that the circumstances contemplated by the parties did make it essential that performance occur by a certain date. Since those circumstances may be found to exist even without the insertion of specific language, however, its insertion is not the only thing that would result in a judgment for the buyer. B is therefore incorrect. Even if the seller's breach resulted in damage to the buyer, "
"46","17641","44040203","Individual Rights > Due Process Clause > Procedural due process","Constitutional Law","Individual Rights","high","row_text_rule","procedural due process","The plaintiff was hired as a probationary employee by an agency of the state pursuant to a written contract. The contract provided that at the end of one year, the parties could agree to renew the contract for an additional one-year period,","State action that imposes a penalty for the exercise of a constitutional right is a deprivation of liberty. If the decision not to renew the plaintiff's contract was based on his speech (an exercise of First Amendment rights), it interfered with a liberty interest. Since the Fifth and Fourteenth Amendments protect against deprivation of liberty without due process, the additional fact set forth in B could result in a finding that a hearing (i.e., due process) was required. A "
"47","18658","75070202","Fourth Amendment > Searches and Seizures > Exceptions to warrant requirement","Criminal Law and Procedure","Constitutional Protection of Accused Persons (Criminal Procedure)","high","row_text_rule","search warrant exceptions","A police officer was going door-to-door in a neighborhood handing out flyers related to several recent burglaries. A homeowner invited the police officer in for some coffee. The police officer sat down in the living room while the homeowner","The “plain view” doctrine allows a police officer to seize evidence falling into the officer's “plain view” when that officer sees the evidence from a place where it is lawful for the officer to be. Here, by consenting to have the officer in her home, the police officer was lawfully in the living room. However, the question in such circumstances is what the homeowner would have reasonably believed her consent amounted to. Importantly, if one consents to have another person in"
"48","17540","42010302","Separation of Powers > Interbranch Checks and Balances > Veto and similar powers","Constitutional Law","Separation of Powers","high","row_text_rule","bicameralism/presentment","A chemical used in the manufacture of munitions is frequently found floating, as dust, in the air of munitions factories. Since prolonged inhalation of the chemical can cause lung disease, Congress passes an Act to limit use of the chemical","The committee system in Congress exists, in part, because it enables certain questions to be considered by bodies that have had an opportunity to develop expertise in certain areas. The principle of bicameralism established by Article I prevents those committees from legislating, however. For this reason, A is incorrect. Although Congress may supervise the activities of administrative agencies that it has created, the scope of such supervision is, of course, limited by the pr"
"49","20047","84040205","Titles, Deeds, and Conveyancing > Conveyance by Deed > Covenants of title","Real Property","Titles","manual","manual_override","manual review: deed covenants of title breach","The landowner was the owner of a large tract of realty located in a heavily forested area. In January 2012, the landowner leased the realty to a friend for a period of 20 years. In March 2012, the landowner sold the realty to an artist, exe","The covenant of seisin is a promise that the grantor has title to and possession of the realty. The covenant against encumbrances is a promise that no other person has encumbrances or liens against the realty. If the realty is not as covenanted, these covenants are breached the moment a deed containing them is delivered to a grantee. Since the covenants are breached upon delivery of the deed, however, they do not flow to successors of the covenantor's grantee. Since the lando"
"50","17508","44040300","Individual Rights > Equal Protection Clause","Constitutional Law","Individual Rights","high","row_text_rule","equal protection","In which one of the following fact situations is the defendant most likely to be properly convicted of violating a state law that prohibits depriving any person of a right conferred by the Equal Protection Clause of the Fourteenth Amendment","The defendant in A is employed by a religious organization. The defendant in B is a federal official. The defendant in D works in private enterprise. Since none of them is an agency of the state, A, B, and D are incorrect."
