excel_row,qid,outline_code,confidence,note,question_excerpt,explanation_excerpt
12,20345,51060201,reviewed,quasi-contract/restitution remedy,"By a valid written contract formed on May 7, the builder agreed to construct a warehouse for the landowner. Pursuant to the terms of the contract, the building was to be completed ","If the circumstances that resulted in destruction of the structure excused performance by the builder, his refusal to continue was not a breach. Since, however, he did not perform as promised, his only remedy would be in quasi-contract. If the circumstances did not excuse performance by the builder, his refusal to cont"
13,19716,55020102,reviewed,promise treated as acceptance,The plaintiff was the owner of a fleet of taxis that he leased to independent drivers in return for 60 percent of the fares that they collected. All the leases were scheduled to ex,"If the defendant's statement implied a promise to paint the cars, it was an acceptance of the plaintiff's offer, thus forming a contract of which the defendant's subsequent refusal to paint the cars would be a breach. (Note: Although the defendant's statement probably was not a promise, the question requires this to be"
14,20007,54030600,high,Mistake / Lack of Mutual Assent,An art dealer employed several agents who traveled throughout the world purchasing art for her to sell in her gallery. One of her agents sent her a painting that she said was by a ,"If, at the time a contract is formed, the parties to it are operating under a mutual mistake, the resulting lack of mutual agreement excuses non-performance by either party. Thus, if both the buyer and the dealer mistakenly believed that the painting was painted by the famous artist, the buyer's non-performance would n"
15,18511,51060107,high,Duty to mitigate,The plaintiff was employed by the defendant as department manager pursuant to a written contract. The contract was for a five-year term and fixed the plaintiff's compensation at $2,"In an action for breach of an employment contract, a non-breaching employee is entitled to receive the full contract price for the balance of the term plus consequential damages, less damages avoided by mitigation. Since the plaintiff mitigated damages by taking a job with another company at the same salary, he is enti"
16,21701,53070200,reviewed,assignment of right to receive benefit,A local school held a charity auction where companies and other members of the community donated items for the school to auction off. A local guitar maker agreed to donate a new el,"In an assignment, the assignor transfers to an assignee the assignor's right to receive a benefit from a third person. Here, the company promised to give the school a guitar, and the school transferred its right to receive it to the plaintiff when the plaintiff submitted the highest bid. Importantly, the company made a"
17,21259,56050300,reviewed,FOB/risk-of-loss performance rule,"By a written agreement, a university agreed to buy 100 air conditioners from a company at a price of $250 each, FOB the company's factory. On June 1, the company loaded the air con","In an FOB contract, the risk of loss passes to the buyer as soon as the goods are loaded on a carrier at the place specified. This means that once the air conditioners were loaded onto the trucking company's truck, any loss not resulting from the fault of the seller became the university's. The university is thus not e"
18,17625,54030400,high,Statute of Frauds,"After serving in the military for several years, a soldier informed her father that she had gotten married and was retiring from military service. Glad to hear the news, the soldie","In attempting to enforce the father's promise, the soldier faces two problems. First, the Statute of Frauds requires a writing for a promise to convey an interest in real estate, and the father's promise was oral. Second, a promise is not ordinarily enforceable if made without consideration, and the soldier gave nothin"
19,20513,53070300,high,Delegation of Duties,The homeowner hired a famous landscaper to fix up his lawn. The landscaper's design owner's house and planted with aquatic plants. Although the landscaper completed the rest of the,"In general, contract obligations are freely delegable unless the obligee has a special interest in having the obligations performed personally by the obligor. It is usually held that construction contracts are delegable, since any reputable builder can construct whatever was contracted for if provided with the proper p"
20,21290,55020400,reviewed,implied-in-fact promise to pay for requested services,"The defendant, who broke his leg falling from a ladder, was treated by a doctor. At the time treatment began, the defendant explained that he was short of cash, but that his treatm","In the absence of an agreement to the contrary, one who seeks the services of another, knowing that the other expects to be paid for those services, impliedly promises to pay for the services by availing himself or herself of them. Although the doctor agreed to wait for payment and to bill the defendant's insurance com"
21,19738,51060107,high,Duty to mitigate,"The plaintiff was the owner of an air-conditioning repair company. His employees did all the repair jobs, but the plaintiff himself did the estimating and made price quotes to cust","Losses that are normal but not inevitable results of a breach of contract (e.g., the plaintiff's claim of lost business resulting from non-delivery of the station wagon) are called “consequential damages,” and they may be recovered if they were foreseeable to the parties at the time the contract was made, and if they c"
22,17732,55020101,high,Offer,"When the plaintiff was admitted to law school, her mother was so proud of the plaintiff that she said, “If you successfully complete your first year, I'll buy all your books for th",Most jurisdictions agree that an offer for a unilateral contract cannot terminate once the offeree begins performance. The plaintiff's extra efforts to earn “A”s while her mother was alive would thus have prevented her mother's death from terminating the offer. Earning the “A”s constituted acceptance of the offer and e
23,18785,56050603,high,Frustration of purpose,"When the plaintiff's uncle died, he left her a 10-story office building that had a motion picture theater on its ground floor. The offices in the building were all occupied when th","None of the reasons given to justify a victory for the defendant is a good one. The doctrine of frustration of purpose may excuse performance of a contract when an unforeseen event destroys its underlying purpose, but only if both parties knew what that purpose was. A is incorrect because the plaintiff did not know the"
24,19461,56050608,reviewed,novation/substitution of party,"The landlord was the owner of a storefront building that she leased to the tenant for a three-year period. The tenant paid the rent for two years, and then he assigned the balance ","Novation is the substitution by mutual consent of a third person for a party to a contract. By assigning to the woman, the tenant agreed to substitute the woman for him. It may be argued that by accepting rent from the woman with the knowledge that the tenant had assigned to the woman, the landlord was also consenting "
25,20814,53070100,reviewed,intended beneficiary rights and vesting,"The defendant and his wife were co-owners of a parcel of realty. After 25 years of marriage, they decided to execute wills. Before executing the wills, they agreed in writing that ","One who will derive a benefit from a contract to which he or she is not a party is a third-party beneficiary of that contract. If the contracting parties meant for their contract to benefit the third party, he or she is an intended third-party beneficiary. At some point, an intended third-party beneficiary may acquire "
26,19373,55020205,reviewed,past consideration/moral-obligation exception,The defendant and her assistant were working alone late one night when the defendant had a heart attack that rendered her unconscious and caused her to fall down an airshaft. The a,"Ordinarily a promise is not enforceable unless there was consideration (i.e., something given in exchange for and to induce the promise) for it. Since the assistant's service had already been rendered without expectation of payment, it was not given in exchange for the promise and is not consideration for it. Some case"
27,17190,53070200,high,Assignment of Rights,"The plaintiff was a retailer of home-gardening supplies. On March 1, the plaintiff entered into a written contract with a wholesaler of seeds. According to the terms, the wholesale","Ordinarily, a party to a contract may assign its rights or delegate its duties to another. UCC §2-210 provides, however, that delegation does not relieve the delegator of contract duties or of liability for breach. Since the wholesaler delegated its duties to the new owner, and since the new owner breached those duties"
28,17850,55020300,high,Promissory Estoppel,"The defendant, who resided in the city, was the owner of a chain of dry cleaning stores. Because his stores had been financially successful, he began selling franchises. By the ter","Ordinarily, a promise is not enforceable unless it is supported by consideration. Consideration is something that is bargained for and given in exchange for the promise. Although consideration frequently is found in some benefit conferred upon a promisor in exchange for a promise, it is generally understood that a detr"
29,17899,55020204,high,Preexisting duty,"The defendant was a veterinarian who specialized in the treatment of livestock, including pigs, horses, cows, and sheep. The plaintiff was a farmer who raised various species of li","Ordinarily, a promise is unenforceable unless supported by consideration. Since consideration involves a bargained-for exchange, a preexisting obligation cannot serve as consideration for a new promise, since it was not given in exchange for that promise. Except for the $250 per month that the plaintiff was already obl"
30,21437,56050102,reviewed,personal satisfaction condition,"A boxer, the son of a poor family, grew up on his family's small farm just outside of town. Despite the handicaps of poverty and lack of education, the boxer eventually became the ","Ordinarily, a promise to perform services implies a promise to perform them in a satisfactory manner, judged by an objective standard. A specific agreement that personal satisfaction is required, however, is usually understood to call for subjective satisfaction so long as the party whose satisfaction is required acts "
31,21032,55020102,reviewed,accommodation shipment and acceptance,"A drug manufacturer made vaccines and sold them to various distributors. Just before the drug manufacturer was about to raise the price of its vaccines, one of the distributors lea","Ordinarily, an order to buy goods for current shipment will be deemed accepted if the seller ships conforming or non-conforming goods. However, “such a shipment of non-conforming goods does not constitute an acceptance if the seller seasonably notifies the buyer that the shipment is offered only as an accommodation to "
32,20808,55020300,high,Promissory Estoppel,"A woman, who had a son and daughter, agreed to deed to her daughter her farm so long as the daughter agreed to allow her brother to live on it for as long as he wished. The daughte","Ordinarily, no promise is enforceable unless it is supported by consideration. Consideration consists of some legal detriment sustained by the promisee in return for the promisor's promise. Since at the time the sister promised her brother that she would let him live on the farm, she was already obligated to do so, her"
33,19172,55020101,reviewed,option/firm offer,"The defendant was an investor who frequently bought and sold real estate on his own account. He had purchased a parcel of realty for $100,000 and was considering selling it. On Sep","Ordinarily, no promise is enforceable without consideration. Consideration consists of some legal detriment suffered by the promisee in return for the promise. Since the plaintiff suffered no legal detriment in return for the defendant's promise to keep the offer open, the defendant's promise is unenforceable. UCC §2-2"
34,19300,51060201,reviewed,return of price paid after nonconforming tender,"By a written contract, the owner of a bar agreed to purchase 200 pounds of large pickled eggs from a farmer at a specified price. A term of the contract provided that “payment shal","Ordinarily, non-delivery by the seller entitles the buyer to damages consisting of the difference between the contract price and either the “cover price” or the reasonable market value of the undelivered goods. Here, because the eggs delivered did not conform to the agreement, the bar owner was entitled to return them."
35,19428,51060101,reviewed,cost-to-complete expectation damages,"A manufacturer needed a new factory and purchased a parcel of realty on which he wished to have it constructed. After negotiation, the manufacturer entered into a valid written con","Ordinarily, the damages remedy is designed to put the parties in the position in which they would have been had the contract not been breached. If the builder had not breached the contract, the manufacturer would have a building that conformed to his specifications at a price of $250,000. To make the manufacturer whole"
36,19548,51060201,reviewed,restitution after excused construction performance,"On May 1, the defendant hired the plaintiff to reshingle the roof of his house at an agreed price of $5,000, to be paid within 10 days after completion, and with all work to be com","Ordinarily, when unforeseeable circumstances make performance impossible, that performance is excused. When this occurs after performance has begun, the party who has performed is not entitled to contract remedies, since there has been no breach by the other party. In construction contracts, if the contractor is hired "
37,18169,51060105,high,Liquidated damages,"The defendant signed a five-year contract with the plaintiff. According to the contract, the plaintiff would bag apples produced in the defendant's orchard. There was a fixed price","Parties to a contract may make an explicit agreement as to what each party's remedy for a breach of contract will be. However, such “liquidated damages clauses” are invalid if they act as a penalty. The purpose of damages is to put the plaintiff in the same position he or she would have been in had the contract been fu"
38,19189,56050102,high,Conditions,"A woman's hobby was restoring and collecting antique automobiles. After acquiring an antique automobile, she contacted a body shop about having the car repainted. The body shop sai","Performance of one of a series of mutual promises is a condition precedent to others in the series if the circumstances indicate that it should obviously precede the others. Since the writing called for payment of $300 in advance, it is obvious that the parties intended that it should be paid before the work commenced."
39,20206,55020300,high,Promissory Estoppel,The plaintiff worked for a corporation for 40 years. The corporation told the plaintiff that the plaintiff would be given the right to retire at any time with a lifetime pension. T,"Promissory estoppel is used by the courts to enforce promises when the promise induces the promisee to rely on it to his or her detriment. Here, the plaintiff relied on the promise to her detriment because she retired when she could have gone on working based on her belief that she would receive a pension. Consequently"
40,17948,54030100,high,Lack of Capacity,"The seller and the buyer had been friends for years. The seller was the owner of a rare antique sports car, which the buyer had offered to buy from her on several occasions but whi","Since a contract is a meeting of minds, a person who does not know the legal consequences of his or her act is incapable of contracting. Where the incapacity results from intoxication, some jurisdictions require proof that the other party was aware of the intoxication and the resulting incapacity. Although it is not cl"
41,17056,51060201,high,Legal Restitution,"On January 17, a homeowner hired a builder to build a new greenhouse on his property. After negotiation, they entered into a valid written contract that fixed the price at $8,000. ","Since quasi-contract remedies are essentially designed to prevent unjust enrichment, they are usually unavailable against a non-breaching defendant who has received no benefits from the plaintiff's work. A, B, and C are therefore incorrect. In addition, A is incorrect because its formula bears no reasonable relationshi"
42,17037,51060304,high,Specific performance,"On August 1, the homeowner entered into a written contract with a buyer for the purchase and sale of the homeowner's home at a price of $398,000, with title to close on December 1.","Since the buyer contracted to purchase the homeowner's home, his failure to do so is a breach that entitles the homeowner to any damages that result. A is therefore correct. A buyer can frequently obtain specific performance of a contract to sell realty because the uniqueness of a given parcel of realty makes money dam"
43,19539,51060101,reviewed,lost-volume/no-loss seller damages,"A furniture dealer had 500 chairs for sale. The chairs had a fair market value of $100 each. The manufacturer had discontinued production of the chairs, however, and they were the ","Since the dealer sold the chairs to another buyer at the same price that the decorator had contracted to pay, the dealer sustained no damage. Where there is no limit to the availability of the items sold, some cases allow a seller to recover lost profits when a buyer cancels, reasoning that even though the seller resol"
44,21000,53070200,high,Assignment of Rights,"In exchange for use of his neighbor's ski house, the homeowner hired a lawn service to maintain his lawn and his neighbor's lawn for the next two years, agreeing to pay the lawn se","Since the doctor did not, by word or deed, express or imply a willingness to pay for the maintenance of the neighbor's lawn, he is under no obligation to do so. (Note: It is generally understood that an assignment of contract rights includes a delegation of contract obligations. Since the homeowner assigned to the doct"
45,17078,55020101,reviewed,option/firm offer,"The buyer and the seller were members of the graduating class of a college. The buyer, who was planning to go to law school, told the seller that he might need some law books. The ","Since the promise to keep the offer open is unsupported by consideration, it is a gratuitous one, and therefore unenforceable. Although UCC §2-205 makes certain “firm offers” between merchants enforceable without consideration, at common law, an option (i.e., promise to hold an offer open) is not enforceable without co"
46,19535,55020101,high,Offer,"The seller's grandfather left her a collection of the first 30 Super Jimmy comics, the only Super Jimmy comics in existence. The seller sold some comics and pop art in her art gall","Since the seller's offer was for the sale of any or all of the comics, the dealer could accept by promising to purchase any or all of them. Since her telegram specifically agreed to the purchase of only one comic, the seller may successfully argue that she rejected the seller's offer to sell the others. A is incorrect "
47,18809,55020101,high,Offer,"An importer of arts and crafts products from Russia sold his products mainly to department stores and import shops. To keep his sales force down, the importer did most of his selli","Since the shop owner's order constituted an offer, and the shipment by the importer constituted an acceptance of that offer, the terms of the offer became the terms of the contract on July 30. The shop owner is thus entitled to the discount for which she contracted. If there is a discrepancy between printed words in a "
48,18735,51060304,high,Specific performance,"When the buyer's employer prepared to transfer him to its plant located in Twin Oaks, the buyer contracted with the seller for the purchase of the seller's home located in Twin Oak","Specific performance is a remedy that may coexist with the remedy of damages. Thus, its availability does not depend on the availability of damages — liquidated or otherwise. B and C are therefore incorrect. D is incorrect, since specific performance is available as a remedy for the seller's breach of a contract for th"
49,18619,51060304,high,Specific performance,"The seller and the buyer had been friends for years. The seller was the owner of a rare guitar, which the buyer had offered to buy from her on several occasions but which the selle","Specific performance of a sales contract will be granted where money damages that would accurately compensate cannot be measured because the subject of the sale is rare or unique. Since the guitar was a rare one, specific performance might be available. Although it is not certain that a court would decide to grant such"
50,18925,53070200,high,Assignment of Rights,"The homeowner hired the defendant to maintain his lawn, agreeing to pay him $50 per month for certain specified services. Two months later, the homeowner sold his house to the plai","The assignee of contract rights is entitled to enforce them to the same extent the assignor would have been. The defendant's breach of his contract with the homeowner gives the plaintiff, as the homeowner's assignee, a cause of action against the defendant. A and B are therefore incorrect. Contract rights are ordinaril"
51,21386,56050102,reviewed,broker commission condition precedent,"On June 1, a licensed real estate broker entered into a written contract with a homeowner. According to the contract, the broker was given the exclusive right to sell the homeowner","The brokerage contract made transfer of title a condition precedent to the homeowner's obligation to pay the broker. Since title was not transferred, the condition had not been met, and the homeowner's obligation to pay the commission never came into being. A is not a good defense because the homeowner voluntarily acce"
52,18008,55020101,high,Offer,"The buyer, who was planning to go to law school, told the seller that he might need some law books. The seller had recently inherited a law library, so he compiled a list of the bo","The buyer's offer was for a unilateral contract. According to its terms, it could be accepted only by performance consisting of delivery of the books to the buyer's home. An offer for a unilateral contract can be withdrawn at any time prior to the offeree's performance or commencement of performance. A is incorrect bec"
53,21214,51060201,high,Legal Restitution,"The plaintiff was fishing on her boat when she heard a call for help. Looking around, she saw a man drowning and flailing his arms over his head. The plaintiff jumped into the wate",The man made no express promise to pay for the fishing gear. There was no implied promise because there is no fact indicating that the plaintiff acted with the expectation of compensation or reimbursement for her losses. The executor is therefore not bound to pay for her loss. Quantum meruit is available to prevent unj
54,20861,55020101,high,Offer,"In response to an advertisement that he saw in the newspaper, the homeowner telephoned the contractor and asked him to come to the homeowner's home to estimate the cost of providin",The note that the contractor sent on September 5 demanding $325 was a rejection of the homeowner's offer to pay $300. An offeree who has killed an offer by rejecting it does not have the power to resurrect it by a subsequent acceptance. The contractor's note of September 12 was thus no more than a new offer. Since an o
55,21513,52040300,high,Parol Evidence Rule,"On June 11, the homeowner asked a local handyman whether the handyman would be interested in painting the homeowner's house. Following their conversation, they entered into the fol","The parol evidence rule prohibits the admission of extrinsic evidence of a prior or contemporaneous agreement to contradict, vary, or modify the terms of an unambiguous written contract that the parties intended to be a final and complete expression of their agreement. Almost all jurisdictions, however, permit extrinsi"
56,21270,52040300,high,Parol Evidence Rule,"A foreign country is an English-speaking republic on the continent of Europe. Its unit of currency is the “dollar,” which is worth about 85 U.S. cents. While on a business trip in ","The parol evidence rule prohibits the introduction of extrinsic evidence of prior or contemporaneous agreements offered to contradict, vary, or modify an unambiguous writing that the parties intended to be a full and final expression of their agreement (i.e., a “complete integration”). Since the “dollar” is the unit of"
57,21030,52040300,reviewed,parol evidence complete integration,"On May 15, after negotiation, a painter and a homeowner entered into a written agreement for the painting of the homeowner's home. The writing stated that the price was to be $300 ","The parol evidence rule prohibits the introduction of extrinsic evidence of prior or contemporaneous agreements to contradict, vary, or modify an unambiguous writing that the parties intended to be a full and final expression of their agreement. It is generally understood that in the absence of fraud or mistake, a clau"
58,20499,54031000,high,Public Policy,"Immediately after his graduation from college in June, the plaintiff announced his plan to begin law school the following September and to marry his girlfriend in December. The pla","The plaintiff's father's offer was for a unilateral contract — his promise to pay in return for the plaintiff's postponing the wedding. When the plaintiff postponed the wedding, he accepted his father's offer, and a contract was formed. Some cases have held that an agreement never to marry violates public policy, but t"
59,20657,56050400,medium,Breach,"In preparation for an annual convention that was to be held on January 9, the buyer ordered 500 ballpoint pens from the seller at a total price of $285, paying for them in advance.","The seller's obligation under a contract of sale is to deliver goods that conform in every way to the terms of the contract. Since the contract called for delivery of 500 pens, delivery of anything less is a breach. Since the seller failed to perform as promised, the buyer is entitled to the return of all money already"
60,19380,51060101,high,Expectation damages,"After a fire destroyed a storeowner's store, the storeowner entered into a contract with a builder to rebuild the store for $200,000. The contract called for work to be completed b","The standard measure for damages for a builder's breach of a construction contract is the difference between the contract price and the owner's actual cost of completing the building as agreed. Here, the original agreement was $200,000 for construction to be completed by December 1. The second builder agreed to complet"
61,19112,51060107,high,Duty to mitigate,"An entrepreneur entered into a contract with a seller to buy a new office building for his new company. Prior to the date set for closing, the entrepreneur contacted the seller and",The standard measure for damages for breach of a sales contract is the difference between the contract price and the fair market value on the date performance was required. It is generally understood that a non-breaching party has a duty to mitigate damages after a breach. This means that he or she cannot sit by and wa
62,17068,51060101,high,Expectation damages,An automobile dealer sold an expensive line of imported automobiles. The company that manufactured the vehicles in Germany sold them to the dealer at the wholesale price for resale,"The standard measure of damages for a buyer's breach of a sales contract is the difference between the price that the buyer agreed to pay and the reasonable market value or price received by the seller upon resale in a commercially reasonable manner. Under the standard measure for damages, the dealer would not be entit"
63,20680,56050606,reviewed,oral mutual rescission/subsequent agreement,"A developer entered into a written agreement with a farmer to buy the farmer's farm for $500,000. The closing was scheduled for September 5. On September 1, the farmer called the d","The Statute of Frauds applies to land sales, so any land sale agreement has to be in writing. However, under Rest. 2d. §148, so long as a contract does not involve a sale of goods, it can be rescinded orally even if the original agreement was in writing. Consequently, even though the original contract had to be in writ"
64,17450,54030400,high,Statute of Frauds,"A builder contracted to add a room to a homeowner's house for $3,000, with the understanding that the materials used by the builder were to be included in that price. The day befor","The Statute of Frauds requires a contract for the sale of goods with a price of $500 or more to be in writing, but it does not apply to a contract for services, even if goods are to be provided by the person performing the services."
65,20257,54030400,high,Statute of Frauds,Assume that the defendant in each of the following fact patterns objects to enforcement of the agreement on the ground that it violates the Statute of Frauds. In which of the follo,"The Statute of Frauds requires a contract for the sale of goods with a price of $500 or more to be in writing. It might be argued that the agreement in A was divisible — really 15 separate agreements, each for a single $100 purchase — and therefore not within the Statute of Frauds. (Note: Since the agreement was for th"
66,18880,54030400,high,Statute of Frauds,"A woman and her sister lived together in the woman's house in the town of Wildwood. On March 1, the woman called her daughter on the telephone and said that she was beginning to ha","The Statute of Frauds requires that a contract to create an interest in land be in writing. Most states agree that this requirement applies to a promise to create a leasehold interest, so it would apply to both promises made by the daughter. The Statute of Frauds also requires a writing if the contract is one that by i"
67,19953,56050300,reviewed,FOB delivery and risk-of-loss performance,The plaintiff was a manufacturer of wood-finishing products with a plant in the city. The defendant was a manufacturer of wooden furniture with a factory located in the town. Pursu,"The term FOB requires the seller to deliver the goods on board the carrier at the place specified, and the risk of loss does not pass to the buyer until the seller has done so. Since this contract was “FOB the defendant's factory,” the plaintiff's obligation was to deliver it there, and the risk of loss did not pass un"
68,18849,56050300,reviewed,UCC inspection/payment performance rule,The buyer agreed to purchase 250 2” × 4” construction-grade wooden studs from the seller by a written contract that provided that the buyer would make payment prior to inspection. ,"The UCC provides that where there is no agreement to the contrary, a buyer is entitled to inspect goods prior to making payment or accepting them. It provides further, however, that the parties may agree that payment is required before inspection. If so, failure to make payment upon delivery of the goods is a breach. A"
69,19567,54030400,high,Statute of Frauds,"On August 1, a wholesaler of office supplies contracted by telephone to sell 50 cases of typewriter ribbons to a business equipment retailer at a total price of $450. On August 15,","The UCC treats a modification of a contract as a new contract. For this reason, if the contract as modified falls within the provisions of the Statute of Frauds, the modification must be in writing. UCC §2-209(3). Since the modification resulted in an agreement to sell goods with a price of $500 or more, the Statute of"
70,18070,55010101,medium,Uniform Commercial Code (UCC),"In a transaction involving the sale of a bicycle, which of the following persons is NOT a merchant under the UCC?","UCC §2-104 defines a merchant as a person who deals in goods of the kind involved in the transaction, one who by his or her occupation holds himself or herself out as having knowledge peculiar to the goods involved in the transaction, one to whom such knowledge may be attributed by his or her employment, or a person wh"
71,21293,52040300,high,Parol Evidence Rule,"The buyer operated a grocery store in which he sold fresh fish and other food items. The seller was a wholesaler of fresh fish. By a written contract, the buyer and the seller agre","UCC §2-202 provides that a writing intended by the parties to be a final expression of their agreement cannot be modified by evidence of a prior or contemporaneous agreement. It further provides, however, that its terms may be explained by usage of trade. UCC §1-205 defines the term “usage of trade” as a practice or me"
72,19570,56050200,reviewed,UCC modification without consideration,"On June 2, a truck manufacturer and an engine maker entered into an agreement for the sale of a new engine for $1,000. In a telephone conversation with the engine maker on June 5, ","UCC §2-209 provides that the modification of a sales contract is valid, even without consideration. The engine maker's agreement to accept $200 as payment in full is, therefore, enforceable as a modification of the original contract. B is incorrect because a modification need not be in writing unless, as modified, the "
73,19765,54030400,high,Statute of Frauds,"The defendant, a manufacturer of widgets, entered into a valid written contract that called for the sale of 2,000 widgets to the plaintiff at a price of $10 per widget. Several wee","UCC §2-209(3) provides that an agreement to modify a contract must be in writing if the contract as modified is within the provisions of the Statute of Frauds. Since the contract as modified calls for the sale of 1,000 widgets at $10 per widget for a total price of $10,000, and since the Statute of Frauds requires a co"
74,19506,55020203,high,Requirement and output contracts,An airline agreed to buy all of its jet fuel requirements from a jet-fuel supplier. The supplier committed to supply those requirements at a price pegged to the industry-wide poste,"UCC §2-306 states that “a term which measures the quantity by the output of the seller or the requirements of the buyer means such actual output or requirements as may occur in good faith, except that no quantity unreasonably disproportionate to any stated estimate or in the absence of a stated estimate to any normal o"
75,18856,56050300,reviewed,preinspection payment and UCC performance,"By a written contract, the plaintiff, the operator of a natural foods store, agreed to purchase 200 pounds of large nuts from the defendant at a specified price. A term of the cont","UCC §2-512(2) specifically provides that where a contract calls for payment prior to inspection, such payment does not constitute acceptance and does not impair the buyer's right to inspect. The requirement of payment prior to inspection is not an uncommon one, and therefore not unconscionable, making A incorrect. B an"
76,21866,56050402,reviewed,perfect tender acceptance/rejection options,"The seller is a manufacturer of wall-coverings that he ordinarily sells to retailers in boxes containing 10 packages per box. By a valid written contract, the buyer agreed to purch","UCC §2-601 provides that if goods delivered fail in any respect to conform to the contract of sale, the buyer may reject the whole, accept the whole, or accept any commercial units (i.e., quantities that may be sold commercially without substantially impairing their value) and reject the rest. UCC §2-607 provides that "
77,20688,56050300,reviewed,acceptance of goods after inspection,The buyer agreed to purchase 300 commercial-grade metal screws from the seller by a written contract that provided that the buyer would make payment prior to inspection. The screws,"UCC §2-606 provides that unless the buyer does some act inconsistent with the seller's ownership, acceptance of goods occurs only after the buyer has had a reasonable opportunity to inspect the goods and either notifies the seller of his or her intention to keep them or fails to reject them. Thus, payment did not const"
78,21068,53070300,high,Delegation of Duties,"The defendant was a retailer of home-gardening supplies. On March 1, the defendant entered into a written contract with a wholesaler of seeds. According to the terms, the wholesale","UCC §2-609 provides that when one party to a contract has reasonable grounds for insecurity about the other's performance, it may demand assurances and suspend its own performance until they are received. The section also provides that failure to furnish such assurances is a repudiation of the contract. Since UCC §2-21"
79,21362,55020201,medium,Bargain and exchange,"In August 2012, a bar owner threatened to sue the student for $10,000, claiming that the student owed him that sum for unpaid bar bills. The student asked his mother to lend him mo","Under modern law, forbearance to assert a claim against another party is consideration for the other party's promise to pay money if the party who forbears reasonably believes his or her claim to be valid. Thus, if the bar owner reasonably believed his claim for unpaid bar bills to be valid (whether or not the student "
