adjustment_id,fileName,originalQid,issue,detail,updatedFile,status,evidence
31,CQ14555.md,14555,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,case-study numbered item count = 17
32,CQ14555.md,14555,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,json parsed as dict
33,CQ14555.md,14555,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,json parsed as dict
34,CQ14555.md,14555,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14555_updated.md,PASS,json parsed as dict
35,CQ14557.md,14557,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,leading YAML frontmatter present
36,CQ14557.md,14557,missing_pass1_sections,Only 7 numbered sections found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,numbered Pass-1 section count = 14
37,CQ14557.md,14557,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,Question YAML heading with fenced yaml block present
38,CQ14557.md,14557,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,case-study numbered item count = 17
39,CQ14557.md,14557,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,json parsed as dict
40,CQ14557.md,14557,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,json parsed as dict
41,CQ14557.md,14557,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14557_updated.md,PASS,json parsed as dict
42,CQ14578.md,14578,missing_pass1_sections,Only 2 numbered sections found,C:\FOC\Workspace\Finished\CQ14578_updated.md,PASS,numbered Pass-1 section count = 14
43,CQ14578.md,14578,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14578_updated.md,PASS,json parsed as dict
44,CQ14578.md,14578,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14578_updated.md,PASS,json parsed as dict
45,CQ14578.md,14578,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14578_updated.md,PASS,json parsed as dict
46,CQ14587.md,14587,missing_pass1_sections,Only 10 numbered sections found,C:\FOC\Workspace\Finished\CQ14587_updated.md,PASS,numbered Pass-1 section count = 14
47,CQ14595.md,14595,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14595_updated.md,PASS,numbered Pass-1 section count = 14
48,CQ14610.md,14610,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14610_updated.md,PASS,leading YAML frontmatter present
49,CQ14610.md,14610,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14610_updated.md,PASS,numbered Pass-1 section count = 16
50,CQ14610.md,14610,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14610_updated.md,PASS,json parsed as dict
51,CQ14610.md,14610,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14610_updated.md,PASS,json parsed as dict
52,CQ14610.md,14610,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14610_updated.md,PASS,json parsed as dict
53,CQ14616.md,14616,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,leading YAML frontmatter present
54,CQ14616.md,14616,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,Question YAML heading with fenced yaml block present
55,CQ14616.md,14616,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,case-study numbered item count = 17
56,CQ14616.md,14616,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,json parsed as dict
57,CQ14616.md,14616,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,json parsed as dict
58,CQ14616.md,14616,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14616_updated.md,PASS,json parsed as dict
59,CQ14618.md,14618,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,leading YAML frontmatter present
60,CQ14618.md,14618,missing_pass1_sections,Only 2 numbered sections found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,numbered Pass-1 section count = 14
61,CQ14618.md,14618,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,Question YAML heading with fenced yaml block present
62,CQ14618.md,14618,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,case-study numbered item count = 17
63,CQ14618.md,14618,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,json parsed as dict
64,CQ14618.md,14618,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,json parsed as dict
65,CQ14618.md,14618,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14618_updated.md,PASS,json parsed as dict
66,CQ14619.md,14619,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14619_updated.md,PASS,leading YAML frontmatter present
67,CQ14619.md,14619,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14619_updated.md,PASS,numbered Pass-1 section count = 17
68,CQ14619.md,14619,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14619_updated.md,PASS,json parsed as dict
69,CQ14619.md,14619,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14619_updated.md,PASS,json parsed as dict
70,CQ14619.md,14619,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14619_updated.md,PASS,json parsed as dict
71,CQ14620.md,14620,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14620_updated.md,PASS,leading YAML frontmatter present
72,CQ14620.md,14620,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14620_updated.md,PASS,numbered Pass-1 section count = 16
73,CQ14620.md,14620,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14620_updated.md,PASS,json parsed as dict
74,CQ14620.md,14620,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14620_updated.md,PASS,json parsed as dict
75,CQ14620.md,14620,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14620_updated.md,PASS,json parsed as dict
76,CQ14621.md,14621,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,leading YAML frontmatter present
77,CQ14621.md,14621,missing_pass1_sections,Only 0 numbered sections found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,numbered Pass-1 section count = 14
78,CQ14621.md,14621,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,Question YAML heading with fenced yaml block present
79,CQ14621.md,14621,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,case-study numbered item count = 17
80,CQ14621.md,14621,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,json parsed as dict
81,CQ14621.md,14621,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,json parsed as dict
82,CQ14621.md,14621,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14621_updated.md,PASS,json parsed as dict
83,CQ14625.md,14625,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,leading YAML frontmatter present
84,CQ14625.md,14625,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,Question YAML heading with fenced yaml block present
85,CQ14625.md,14625,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,case-study numbered item count = 17
86,CQ14625.md,14625,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,json parsed as dict
87,CQ14625.md,14625,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,json parsed as dict
88,CQ14625.md,14625,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14625_updated.md,PASS,json parsed as dict
89,CQ14626.md,14626,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14626_updated.md,PASS,leading YAML frontmatter present
90,CQ14626.md,14626,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14626_updated.md,PASS,numbered Pass-1 section count = 16
91,CQ14626.md,14626,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14626_updated.md,PASS,json parsed as dict
92,CQ14626.md,14626,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14626_updated.md,PASS,json parsed as dict
93,CQ14626.md,14626,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14626_updated.md,PASS,json parsed as dict
94,CQ14627.md,14627,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,leading YAML frontmatter present
95,CQ14627.md,14627,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,Question YAML heading with fenced yaml block present
96,CQ14627.md,14627,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,case-study numbered item count = 17
97,CQ14627.md,14627,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,json parsed as dict
98,CQ14627.md,14627,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,json parsed as dict
99,CQ14627.md,14627,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14627_updated.md,PASS,json parsed as dict
100,CQ14629.md,14629,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,leading YAML frontmatter present
101,CQ14629.md,14629,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,numbered Pass-1 section count = 17
102,CQ14629.md,14629,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,case-study numbered item count = 17
103,CQ14629.md,14629,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,json parsed as dict
104,CQ14629.md,14629,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,json parsed as dict
105,CQ14629.md,14629,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14629_updated.md,PASS,json parsed as dict
106,CQ14630.md,14630,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,leading YAML frontmatter present
107,CQ14630.md,14630,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,numbered Pass-1 section count = 17
108,CQ14630.md,14630,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,Question YAML heading with fenced yaml block present
109,CQ14630.md,14630,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,case-study numbered item count = 17
110,CQ14630.md,14630,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,json parsed as dict
111,CQ14630.md,14630,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,json parsed as dict
112,CQ14630.md,14630,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14630_updated.md,PASS,json parsed as dict
113,CQ14631.md,14631,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14631_updated.md,PASS,leading YAML frontmatter present
114,CQ14631.md,14631,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14631_updated.md,PASS,numbered Pass-1 section count = 16
115,CQ14631.md,14631,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14631_updated.md,PASS,json parsed as dict
116,CQ14631.md,14631,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14631_updated.md,PASS,json parsed as dict
117,CQ14631.md,14631,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14631_updated.md,PASS,json parsed as dict
118,CQ14633.md,14633,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,leading YAML frontmatter present
119,CQ14633.md,14633,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,numbered Pass-1 section count = 17
120,CQ14633.md,14633,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,case-study numbered item count = 17
121,CQ14633.md,14633,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,json parsed as dict
122,CQ14633.md,14633,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,json parsed as dict
123,CQ14633.md,14633,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14633_updated.md,PASS,json parsed as dict
124,CQ14634.md,14634,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14634_updated.md,PASS,leading YAML frontmatter present
125,CQ14634.md,14634,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14634_updated.md,PASS,numbered Pass-1 section count = 17
126,CQ14635.md,14635,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,leading YAML frontmatter present
127,CQ14635.md,14635,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,Question YAML heading with fenced yaml block present
128,CQ14635.md,14635,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,case-study numbered item count = 17
129,CQ14635.md,14635,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,json parsed as dict
130,CQ14635.md,14635,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,json parsed as dict
131,CQ14635.md,14635,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14635_updated.md,PASS,json parsed as dict
132,CQ14636.md,14636,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,leading YAML frontmatter present
133,CQ14636.md,14636,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,Question YAML heading with fenced yaml block present
134,CQ14636.md,14636,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,case-study numbered item count = 17
135,CQ14636.md,14636,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,json parsed as dict
136,CQ14636.md,14636,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,json parsed as dict
137,CQ14636.md,14636,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14636_updated.md,PASS,json parsed as dict
138,CQ14637.md,14637,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,leading YAML frontmatter present
139,CQ14637.md,14637,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,numbered Pass-1 section count = 17
140,CQ14637.md,14637,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,case-study numbered item count = 17
141,CQ14637.md,14637,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,json parsed as dict
142,CQ14637.md,14637,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,json parsed as dict
143,CQ14637.md,14637,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14637_updated.md,PASS,json parsed as dict
144,CQ14638.md,14638,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,leading YAML frontmatter present
145,CQ14638.md,14638,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,numbered Pass-1 section count = 17
146,CQ14638.md,14638,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,Question YAML heading with fenced yaml block present
147,CQ14638.md,14638,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,case-study numbered item count = 17
148,CQ14638.md,14638,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,json parsed as dict
149,CQ14638.md,14638,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,json parsed as dict
150,CQ14638.md,14638,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14638_updated.md,PASS,json parsed as dict
151,CQ14639.md,14639,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,leading YAML frontmatter present
152,CQ14639.md,14639,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,numbered Pass-1 section count = 17
153,CQ14639.md,14639,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,case-study numbered item count = 17
154,CQ14639.md,14639,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,json parsed as dict
155,CQ14639.md,14639,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,json parsed as dict
156,CQ14639.md,14639,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14639_updated.md,PASS,json parsed as dict
157,CQ14640.md,14640,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,leading YAML frontmatter present
158,CQ14640.md,14640,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,Question YAML heading with fenced yaml block present
159,CQ14640.md,14640,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,case-study numbered item count = 17
160,CQ14640.md,14640,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,json parsed as dict
161,CQ14640.md,14640,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,json parsed as dict
162,CQ14640.md,14640,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14640_updated.md,PASS,json parsed as dict
163,CQ14641.md,14641,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,leading YAML frontmatter present
164,CQ14641.md,14641,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,numbered Pass-1 section count = 17
165,CQ14641.md,14641,missing_question_yaml,No Question YAML heading found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,Question YAML heading with fenced yaml block present
166,CQ14641.md,14641,missing_case_study,No 17-section case-study heading found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,case-study numbered item count = 17
167,CQ14641.md,14641,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,json parsed as dict
168,CQ14641.md,14641,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,json parsed as dict
169,CQ14641.md,14641,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14641_updated.md,PASS,json parsed as dict
170,CQ14643.md,14643,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14643_updated.md,PASS,leading YAML frontmatter present
171,CQ14643.md,14643,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14643_updated.md,PASS,numbered Pass-1 section count = 17
172,CQ14643.md,14643,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14643_updated.md,PASS,json parsed as dict
173,CQ14643.md,14643,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14643_updated.md,PASS,json parsed as dict
174,CQ14643.md,14643,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14643_updated.md,PASS,json parsed as dict
175,CQ14644.md,14644,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14644_updated.md,PASS,leading YAML frontmatter present
176,CQ14644.md,14644,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14644_updated.md,PASS,numbered Pass-1 section count = 16
177,CQ14644.md,14644,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14644_updated.md,PASS,json parsed as dict
178,CQ14644.md,14644,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14644_updated.md,PASS,json parsed as dict
179,CQ14644.md,14644,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14644_updated.md,PASS,json parsed as dict
180,CQ14645.md,14645,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14645_updated.md,PASS,leading YAML frontmatter present
181,CQ14645.md,14645,missing_pass1_sections,Only 12 numbered sections found,C:\FOC\Workspace\Finished\CQ14645_updated.md,PASS,numbered Pass-1 section count = 16
182,CQ14645.md,14645,missing_c3_annotation,No c3_annotation block found,C:\FOC\Workspace\Finished\CQ14645_updated.md,PASS,json parsed as dict
183,CQ14645.md,14645,missing_program_elements,No program_elements block found,C:\FOC\Workspace\Finished\CQ14645_updated.md,PASS,json parsed as dict
184,CQ14645.md,14645,missing_program_intelligence,No program_intelligence block found,C:\FOC\Workspace\Finished\CQ14645_updated.md,PASS,json parsed as dict
185,CQ14649.md,14649,missing_frontmatter,No leading YAML frontmatter block found,C:\FOC\Workspace\Finished\CQ14649_updated.md,PASS,leading YAML frontmatter present
