excelRow,status,qid,subject,topic,subtopic,selectedCode,selectedPath,confidence,source,score,margin,note
"15","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r3::Q02","20946","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"16","presentation_questions_batch_001_A1_roles_judge_jury::r18::POE-CALMAP-017","21036","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","20","Matched from QBank metadata using explicit legal phrase rule."
"17","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r5::Q04","21473","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"18","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r2::REM-DAM-EXPECT-001","21563","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"19","presentation_questions_batch_001_A1_roles_judge_jury::r14::POE-CALMAP-013","17116","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","20","Matched from QBank metadata using explicit legal phrase rule."
"20","presentation_questions_batch_001_A1_roles_judge_jury::r10::POE-CALMAP-009","17304","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"21","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r7::Q06","17603","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"22","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r18::Q17","17902","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"23","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r18::Q17","17916","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"24","presentation_questions_batch_001_A1_roles_judge_jury::r9::POE-CALMAP-008","18052","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"25","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r11::Q10","18084","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"26","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r3::Q02","18262","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"27","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r18::Q17","18570","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"28","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r2::Q01","18659","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"29","presentation_questions_batch_001_A1_roles_judge_jury::r7::POE-CALMAP-006","18689","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","20","Matched from QBank metadata using explicit legal phrase rule."
"30","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r10::REM-DAM-EXPECT-009","18891","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"31","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r4::Q03","18940","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"32","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r6::Q05","19062","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"33","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r5::REM-DAM-EXPECT-004","19351","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"34","presentation_questions_batch_001_A1_roles_judge_jury::r19::POE-CALMAP-018","19374","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"35","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r6::Q05","19409","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"36","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r4::Q03","19478","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"37","presentation_questions_batch_001_A1_roles_judge_jury::r12::POE-CALMAP-011","19634","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","39","20","Matched from QBank metadata using explicit legal phrase rule."
"38","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r4::REM-DAM-EXPECT-003","19654","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"39","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r7::Q06","19752","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"40","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r12::Q11","19917","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"41","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r2::Q01","20164","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"42","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r16::Q15","20287","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"43","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r10::Q09","20300","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"44","presentation_questions_batch_001_A1_roles_judge_jury::r5::POE-CALMAP-004","20530","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"45","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r8::Q07","20745","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"46","presentation_questions_batch_001_A1_roles_judge_jury::r2::POE-CALMAP-001","20791","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"47","presentation_questions_batch_001_A1_roles_judge_jury::r20::POE-CALMAP-019","20880","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","15","Matched from QBank metadata using explicit legal phrase rule."
"48","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r14::Q13","20892","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"49","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r10::Q09","20928","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"50","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r7::REM-DAM-EXPECT-006","21487","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"51","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r15::Q14","21617","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"52","presentation_questions_batch_001_A1_roles_judge_jury::r3::POE-CALMAP-002","21808","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"53","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r17::Q16","17618","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"54","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r14::Q13","17668","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"55","presentation_questions_batch_026_mixed_presentation_review::r2::Q01","17688","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"56","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r15::Q14","17835","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"57","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r5::Q04","17946","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"58","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r10::Q09","18360","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"59","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r13::Q12","18837","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"60","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r19::Q18","19517","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"61","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r6::Q05","19696","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"62","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r16::Q15","20349","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"63","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r19::Q18","21087","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"64","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r14::Q13","21316","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"65","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r9::Q08","21806","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"66","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r9::Q08","21874","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"67","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r8::REM-DAM-EXPECT-007","18947","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"68","presentation_questions_batch_001_A1_roles_judge_jury::r16::POE-CALMAP-015","20884","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","15","Matched from QBank metadata using explicit legal phrase rule."
"69","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r15::Q14","17141","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"70","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r13::Q12","17915","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"71","presentation_questions_batch_001_A1_roles_judge_jury::r8::POE-CALMAP-007","18159","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"72","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r7::Q06","18483","Contracts","Expectation damages","","51060103","Remedies > Damages > Consequential damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"73","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r13::Q12","19020","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"74","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r8::Q07","19547","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"75","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r19::Q18","19735","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"76","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r4::Q03","19883","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"77","presentation_questions_batch_001_A1_roles_judge_jury::r13::POE-CALMAP-012","20386","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","17","Matched from QBank metadata using explicit legal phrase rule."
"78","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r5::Q04","20434","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"79","contracts_remedies_questions_batch_004_node_a1_expectation_damages_lost_profits_certainty::r12::Q11","20469","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"80","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r16::Q15","20501","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"81","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r6::REM-DAM-EXPECT-005","21001","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"82","contracts_remedies_questions_batch_003_node_a1_ucc_buyer_seller_remedies::r17::Q16","21124","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"83","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r3::REM-DAM-EXPECT-002","21414","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"84","contracts_remedies_questions_batch_002_node_a1_expectation_damages_construction_services::r8::Q07","21433","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"85","contracts_remedies_questions_batch_001_node_a1_expectation_damages::r11::REM-DAM-EXPECT-010","21483","Contracts","Expectation damages","","51060101","Remedies > Damages > Expectation damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"86","presentation_questions_batch_001_A1_roles_judge_jury::r17::POE-CALMAP-016","21768","Evidence","Roles of judge and jury","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","47","15","Matched from QBank metadata using explicit legal phrase rule."
"87","presentation_questions_batch_002_A2_burdens::r9::Q08","17134","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","22","Matched from QBank metadata using explicit legal phrase rule."
"88","presentation_questions_batch_002_A2_burdens::r14::Q13","17233","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","20","Matched from QBank metadata using explicit legal phrase rule."
"89","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r8::Q07","17325","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"90","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r11::REM-B005-Q10","17417","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"91","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r14::REM-B005-Q13","17631","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"92","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r4::Q03","19046","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"93","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r7::REM-B005-Q06","19195","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"94","presentation_questions_batch_002_A2_burdens::r6::Q05","19659","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","25","Matched from QBank metadata using explicit legal phrase rule."
"95","contracts_remedies_questions_batch_002_node_a2_reliance_damages::r7::REM-DAM-RELIANCE-006","19856","Contracts","A2 — Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","45","5","Matched from QBank metadata using explicit legal phrase rule."
"96","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r14::Q13","20137","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"97","presentation_questions_batch_002_A2_burdens::r5::Q04","21267","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","22","Matched from QBank metadata using explicit legal phrase rule."
"98","contracts_remedies_questions_batch_002_node_a2_reliance_damages::r2::REM-DAM-RELIANCE-001","21850","Contracts","A2 — Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","45","0","Matched from QBank metadata using explicit legal phrase rule."
"99","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r15::REM-B005-Q14","17012","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"100","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r18::REM-B005-Q17","17173","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"101","presentation_questions_batch_002_A2_burdens::r2::Q01","17220","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","22","Matched from QBank metadata using explicit legal phrase rule."
"102","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r2::REM-B005-Q01","17658","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"103","presentation_questions_batch_002_A2_burdens::r15::Q14","17882","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","22","Matched from QBank metadata using explicit legal phrase rule."
"104","contracts_remedies_questions_batch_002_node_a2_reliance_damages::r9::REM-DAM-RELIANCE-008","17952","Contracts","A2 — Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","45","5","Matched from QBank metadata using explicit legal phrase rule."
"105","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r7::Q06","18046","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"106","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r15::Q14","18292","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","12","Matched from QBank metadata using explicit legal phrase rule."
"107","contracts_remedies_questions_batch_002_node_a2_reliance_damages::r3::REM-DAM-RELIANCE-002","18390","Contracts","A2 — Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","45","5","Matched from QBank metadata using explicit legal phrase rule."
"108","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r5::REM-B005-Q04","18680","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"109","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r5::Q04","18733","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","15","Matched from QBank metadata using explicit legal phrase rule."
"110","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r4::REM-B005-Q03","19100","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"111","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r11::Q10","19203","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"112","contracts_remedies_questions_batch_002_node_a2_reliance_damages::r4::REM-DAM-RELIANCE-003","19868","Contracts","A2 — Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","45","3","Matched from QBank metadata using explicit legal phrase rule."
"113","contracts_remedies_questions_batch_005_node_a2_reliance_damages::r13::REM-B005-Q12","20182","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"114","presentation_questions_batch_002_A2_burdens::r11::Q10","20235","Evidence","Burden of production and burden of persuasion","","31010102","Presentation of Evidence > General Provisions > Burden of production and burden of persuasion","high","phrase_rule","52","25","Matched from QBank metadata using explicit legal phrase rule."
"115","contracts_remedies_questions_batch_006_node_a2_reliance_promissory_estoppel_limits::r18::Q17","20529","Contracts","Reliance damages","","51060102","Remedies > Damages > Reliance damages","high","phrase_rule","57","17","Matched from QBank metadata using explicit legal phrase rule."
"116","presentation_questions_batch_002_A2_burdens::r4::Q03","20655","Evidence","Burden of production and burden of persuasion","","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","high","phrase_rule","52","20","Matched from QBank metadata using explicit legal phrase rule."
