"chance","model","thinking","question","sessionKey","prompt","outFile"
"1","google/gemini-3-flash-preview","high","14677","c3top16fixed-r1-q14677-google-gemini-3-flash-preview","Please do this BarMatrix Criminal Law and Procedure Question 14677. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14677-google-gemini-3-flash-preview.json"
"1","nv-mistral-medium-3-5/mistralai/mistral-medium-3.5-128b","off","14659","c3top16fixed-r1-q14659-nv-mistral-medium-3-5-mistralai-mistral-medium-3-5-128b","Please do this BarMatrix Criminal Law and Procedure Question 14659. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14659-nv-mistral-medium-3-5-mistralai-mistral-medium-3-5-128b.json"
"1","nv-qwen3-5-397b/qwen/qwen3.5-397b-a17b","off","14661","c3top16fixed-r1-q14661-nv-qwen3-5-397b-qwen-qwen3-5-397b-a17b","Please do this BarMatrix Criminal Law and Procedure Question 14661. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14661-nv-qwen3-5-397b-qwen-qwen3-5-397b-a17b.json"
"1","openai/gpt-5.4-mini","xhigh","14687","c3top16fixed-r1-q14687-openai-gpt-5-4-mini","Please do this BarMatrix Criminal Law and Procedure Question 14687. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14687-openai-gpt-5-4-mini.json"
"1","nv-minimax-m3/minimaxai/minimax-m3","off","14573","c3top16fixed-r1-q14573-nv-minimax-m3-minimaxai-minimax-m3","Please do this BarMatrix Criminal Law and Procedure Question 14573. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14573-nv-minimax-m3-minimaxai-minimax-m3.json"
"1","nv-glm-5-1/z-ai/glm-5.1","off","14660","c3top16fixed-r1-q14660-nv-glm-5-1-z-ai-glm-5-1","Please do this BarMatrix Criminal Law and Procedure Question 14660. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r1-q14660-nv-glm-5-1-z-ai-glm-5-1.json"
"2","nemotron-3-ultra-550b/nvidia/nemotron-3-ultra-550b-a55b","off","14578","c3top16fixed-r2-q14578-nemotron-3-ultra-550b-nvidia-nemotron-3-ultra-550b-a55b","Please do this BarMatrix Criminal Law and Procedure Question 14578. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14578-nemotron-3-ultra-550b-nvidia-nemotron-3-ultra-550b-a55b.json"
"2","nv-glm-5-1/z-ai/glm-5.1","off","14662","c3top16fixed-r2-q14662-nv-glm-5-1-z-ai-glm-5-1","Please do this BarMatrix Criminal Law and Procedure Question 14662. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14662-nv-glm-5-1-z-ai-glm-5-1.json"
"2","nv-minimax-m3/minimaxai/minimax-m3","off","14592","c3top16fixed-r2-q14592-nv-minimax-m3-minimaxai-minimax-m3","Please do this BarMatrix Criminal Law and Procedure Question 14592. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14592-nv-minimax-m3-minimaxai-minimax-m3.json"
"2","openai/gpt-5.5","xhigh","14681","c3top16fixed-r2-q14681-openai-gpt-5-5","Please do this BarMatrix Criminal Law and Procedure Question 14681. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14681-openai-gpt-5-5.json"
"2","openai/gpt-5.4-mini","xhigh","14585","c3top16fixed-r2-q14585-openai-gpt-5-4-mini","Please do this BarMatrix Criminal Law and Procedure Question 14585. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14585-openai-gpt-5-4-mini.json"
"2","github-copilot/gpt-5-mini","high","14685","c3top16fixed-r2-q14685-github-copilot-gpt-5-mini","Please do this BarMatrix Criminal Law and Procedure Question 14685. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14685-github-copilot-gpt-5-mini.json"
"2","minimax/MiniMax-M2.7","high","14594","c3top16fixed-r2-q14594-minimax-minimax-m2-7","Please do this BarMatrix Criminal Law and Procedure Question 14594. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14594-minimax-minimax-m2-7.json"
"2","nv-mistral-small-4/mistralai/mistral-small-4-119b-2603","off","14679","c3top16fixed-r2-q14679-nv-mistral-small-4-mistralai-mistral-small-4-119b-2603","Please do this BarMatrix Criminal Law and Procedure Question 14679. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14679-nv-mistral-small-4-mistralai-mistral-small-4-119b-2603.json"
"2","nv-mistral-medium-3-5/mistralai/mistral-medium-3.5-128b","off","14595","c3top16fixed-r2-q14595-nv-mistral-medium-3-5-mistralai-mistral-medium-3-5-128b","Please do this BarMatrix Criminal Law and Procedure Question 14595. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14595-nv-mistral-medium-3-5-mistralai-mistral-medium-3-5-128b.json"
"2","nv-kimi-2-6/moonshotai/kimi-k2.6","off","14578","c3top16fixed-r2-q14578-nv-kimi-2-6-moonshotai-kimi-k2-6","Please do this BarMatrix Criminal Law and Procedure Question 14578. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14578-nv-kimi-2-6-moonshotai-kimi-k2-6.json"
"2","nv-llama-4-maverick/meta/llama-4-maverick-17b-128e-instruct","off","14677","c3top16fixed-r2-q14677-nv-llama-4-maverick-meta-llama-4-maverick-17b-128e-instruct","Please do this BarMatrix Criminal Law and Procedure Question 14677. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14677-nv-llama-4-maverick-meta-llama-4-maverick-17b-128e-instruct.json"
"2","nv-qwen3-next-80b/qwen/qwen3-next-80b-a3b-instruct","off","14662","c3top16fixed-r2-q14662-nv-qwen3-next-80b-qwen-qwen3-next-80b-a3b-instruct","Please do this BarMatrix Criminal Law and Procedure Question 14662. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14662-nv-qwen3-next-80b-qwen-qwen3-next-80b-a3b-instruct.json"
"2","openrouter/owl-alpha","high","14594","c3top16fixed-r2-q14594-openrouter-owl-alpha","Please do this BarMatrix Criminal Law and Procedure Question 14594. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14594-openrouter-owl-alpha.json"
"2","nv-qwen3-5-397b/qwen/qwen3.5-397b-a17b","off","14600","c3top16fixed-r2-q14600-nv-qwen3-5-397b-qwen-qwen3-5-397b-a17b","Please do this BarMatrix Criminal Law and Procedure Question 14600. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14600-nv-qwen3-5-397b-qwen-qwen3-5-397b-a17b.json"
"2","google/gemini-3-flash-preview","high","14685","c3top16fixed-r2-q14685-google-gemini-3-flash-preview","Please do this BarMatrix Criminal Law and Procedure Question 14685. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14685-google-gemini-3-flash-preview.json"
"2","xai/grok-4.20-beta-latest-reasoning","high","14557","c3top16fixed-r2-q14557-xai-grok-4-20-beta-latest-reasoning","Please do this BarMatrix Criminal Law and Procedure Question 14557. Complete any research needed, use the highest reasoning and verification effort available for this model, and save the entire response to an md file.","C:\FOC\Workspace\OpenClawBatchResults\c3-top16-20260615-205010\c3top16fixed-r2-q14557-xai-grok-4-20-beta-latest-reasoning.json"
