fileName,originalQid,liveQuestionId,liveExternalId,generatedExternalId,questionChanged,choicesChanged,oldStemSample,newStemSample
"CQ14638.md","14638","31b9dd8c-6a31-11f1-a7ad-f9e8a06a2fad","14638_galilee_garments","14638_galilee_garments","true","0","Peter was the general manager and chief executive officer of Galilee Garments, Inc., a private company that made Bible-pageant robes and school uniforms. Peter delegated all operat","BARMATRIX transformed question ID: `14638_galilee_garments`
Transformed from: `14638`
Subject: CRIMINAL
Topic: Criminal Law
Subtopic: General Principles

Peter was the general mana"
"CQ14639.md","14639","31ba1bfc-6a31-11f1-a7ad-f9e8a06a2fad","14639_prayer_walk_self_defense","14639_prayer_walk_self_defense","true","0","After a Thursday evening Bible study, Daniel, an off-duty police officer, was walking home through a public park. Paul, who had been drinking, mistakenly believed Daniel was the ma","After a Thursday evening Bible study, Daniel, an off-duty police officer, was walking home through a public park. Paul, who had been drinking, mistakenly believed Daniel was the ma"
"CQ14640.md","14640","31ba58b9-6a31-11f1-a7ad-f9e8a06a2fad","14640_church_preschool_custody","14640_church_preschool_custody","true","2","State A has a kidnapping statute that makes it a crime for a person, including a parent, to ""take a child from the custody of the child's custodial parent, knowing he has no privil","Question ID: `14640_church_preschool_custody`
Transformed from: `14640`

State A has a kidnapping statute that makes it a crime for a person, including a parent, to “take a child f"
"CQ14641.md","14641","31ba958a-6a31-11f1-a7ad-f9e8a06a2fad","14641_bible_trivia_attempt","14641_14641","true","0","At a Christian coffeehouse after a Bible-trivia night, Esther told Daniel that she wanted to have sexual intercourse with him and that he should come to her apartment that night at","Question ID: `14641_bible_trivia_attempt`

At a Christian coffeehouse after a Bible-trivia night, Esther told Daniel that she wanted to have sexual intercourse with him and that he"
"CQ14643.md","14643","31bad53c-6a31-11f1-a7ad-f9e8a06a2fad","14643_daniels_watch_party","14643","true","0","Daniel and Peter, both members of a campus Bible-study group, were watching a Christian college football game at Daniel’s apartment when they began to argue. Peter became abusive, ","Daniel and Peter, both members of a campus Bible-study group, were watching a Christian college football game at Daniel’s apartment when they began to argue. Peter became abusive, "
"CQ14644.md","14644","31bb1a97-6a31-11f1-a7ad-f9e8a06a2fad","14644_barnabas_banquet","14644","true","0","Barnabas worked as a bartender for a private banquet hall hosting a Christian law-school alumni dinner. He is charged with the statutory offense of 'knowingly violating a regulatio","Barnabas worked as a bartender for a private banquet hall hosting a Christian law-school alumni dinner. He is charged with the statutory offense of 'knowingly violating a regulatio"
"CQ14645.md","14645","31bb5d90-6a31-11f1-a7ad-f9e8a06a2fad","14645_advent_sidewalk","14645_advent_sidewalk","true","0","A city ordinance provides: “Any person who, while intoxicated, appears in any public place and manifests a drunken condition by obstreperous or indecent conduct is guilty of a misd","A city ordinance provides: “Any person who, while intoxicated, appears in any public place and manifests a drunken condition by obstreperous or indecent conduct is guilty of a misd"
"CQ14649.md","14649","31bb9f7c-6a31-11f1-a7ad-f9e8a06a2fad","14649_pageant_warehouse","14649_pageant_warehouse","true","0","Daniel owned an old private warehouse where he stored Christmas pageant props. He decided to destroy the warehouse because the property taxes on the structure exceeded any income h","BARMATRIX Q#: `14649_pageant_warehouse`
Transformed from: `14649`
Subject: Criminal Law
Subtopic: General Principles / Attempt / Impossibility

Daniel owned an old private warehous"
"CQ14650.md","14650","31bbe7de-6a31-11f1-a7ad-f9e8a06a2fad","14650_fellowship_picnic","14650_fellowship_picnic","true","0","At a private Christian fellowship picnic, Peter and Barnabas got into a heated argument while helping clean up after lunch. During the altercation, Barnabas suffered a knife wound ","At a private Christian fellowship picnic, Peter and Barnabas got into a heated argument while helping clean up after lunch. During the altercation, Barnabas suffered a knife wound "
"CQ14654.md","14654","31bc3260-6a31-11f1-a7ad-f9e8a06a2fad","14654_fellowship_trail","14654_fellowship_trail","true","0","Mary, a student in a Christian law-school fellowship, has been charged with murder and has pleaded not guilty by reason of insanity. At her trial, in which guilt and sanity are bei","Mary, a student in a Christian law-school fellowship, has been charged with murder and has pleaded not guilty by reason of insanity. At her trial, in which guilt and sanity are bei"
"CQ14655.md","14655","31bc7468-6a31-11f1-a7ad-f9e8a06a2fad","14655_study_bible_case","14655_study_bible_case","true","0","After being fired from his job at a private Christian bookstore, Paul drank almost a quart of vodka and decided to ride the bus home. While on the bus, he saw Barnabas carrying a l","After being fired from his job at a private Christian bookstore, Paul drank almost a quart of vodka and decided to ride the bus home. While on the bus, he saw Barnabas carrying a l"
"CQ14656.md","14656","31bcc351-6a31-11f1-a7ad-f9e8a06a2fad","14656_fellowship_flag_football","14656_fellowship_flag_football","true","0","At a fellowship-hall watch party after a charity flag-football game, Peter and John were arguing about the relative merits of their favorite church-league football teams when Peter","BARMATRIX Q#14656_fellowship_flag_football

At a fellowship-hall watch party after a charity flag-football game, Peter and John were arguing about the relative merits of their favo"
"CQ14657.md","14657","31bd0e32-6a31-11f1-a7ad-f9e8a06a2fad","14657_lampstand_window_volley","14657_lampstand_window_volley","true","0","A statute in the jurisdiction defines murder in the first degree as knowingly killing another person after deliberation. Deliberation is defined as cool reflection for any length o","A statute in the jurisdiction defines murder in the first degree as knowingly killing another person after deliberation. Deliberation is defined as “cool reflection for any length "
"CQ14658.md","14658","31bd57f1-6a31-11f1-a7ad-f9e8a06a2fad","14658_christian_publishing","14658_christian_publishing","true","0","Paul was fired by Peter, the president of a private Christian publishing company. Paul wanted revenge against Peter, but decided not to try it personally because he knew Peter was ","Paul was fired by Peter, the president of a private Christian publishing company. Paul wanted revenge against Peter, but decided not to try it personally because he knew Peter was "
"CQ14663.md","14663","31be0616-6a31-11f1-a7ad-f9e8a06a2fad","14663_lydias_bookstore_warehouse","14663_14663","true","0","Daniel became angry after Lydia, the owner of a privately owned Christian bookstore and shipping warehouse, unexpectedly ended his longtime paid job as warehouse manager. The next ","Daniel became angry after Lydia, the owner of a privately owned Christian bookstore and shipping warehouse, unexpectedly ended his longtime paid job as warehouse manager. The next "
"CQ14664.md","14664","31be575d-6a31-11f1-a7ad-f9e8a06a2fad","14664_bible_study_gas_station","14664_bible_study_gas_station","true","0","Stephen owned a small corner market and gas station near a law school and lived in the apartment above the store. One night after a Bible study, Barnabas demanded that Stephen sell","Stephen owned a small corner market and gas station near a law school and lived in the apartment above the store. One night after a Bible study, Barnabas demanded that Stephen sell"
"CQ14665.md","14665","31beae0f-6a31-11f1-a7ad-f9e8a06a2fad","14665_bible_study_stop_sign","14665_bible_study_stop_sign","true","0","After learning that he had lost his job as a private bar-prep tutor, Peter stayed late at a wedding reception hosted by friends from his Bible study and drank heavily. While drivin","After learning that he had lost his job as a private bar-prep tutor, Peter stayed late at a wedding reception hosted by friends from his Bible study and drank heavily. While drivin"
"CQ14668.md","14668","31bf60ae-6a31-11f1-a7ad-f9e8a06a2fad","14668_laxative-lies","14668_laxative-lies","true","0","At common law, first-degree murder is defined as murder committed (1) by means of poison, or (2) with premeditation and deliberation. All other murder is second-degree murder. Mans","At common law, first-degree murder is defined as murder committed (1) by means of poison, or (2) with premeditation and deliberation. All other murder is second-degree murder. Mans"
"CQ14680.md","14680","31c16ff6-6a31-11f1-a7ad-f9e8a06a2fad","14680_christian_bookstore_ricochet","14680_christian_bookstore_ricochet","true","0","In a jurisdiction that has abolished the felony-murder rule, but otherwise follows the common law of murder, Peter and Ruth, both armed with loaded hunting rifles, entered a Christ","In a jurisdiction that has abolished the felony-murder rule, but otherwise follows the common law of murder, Peter and Ruth, both armed with loaded hunting rifles, entered a Christ"
"CQ14690.md","14690","31c28445-6a31-11f1-a7ad-f9e8a06a2fad","14690_bible_study_protected_victim","14690_bible_study_protected_victim","true","0","Peter, an 18-year-old, and his 14-year-old girlfriend Ruth met through a neighborhood Bible-study group. They made plans to meet in Peter’s apartment to have sexual intercourse, an","BARMATRIX QID: `14690_bible_study_protected_victim`
Transformed from: `14690`

Peter, an 18-year-old, and his 14-year-old girlfriend Ruth met through a neighborhood Bible-study gro"
"CQ14728.md","14728","31c9e07c-6a31-11f1-a7ad-f9e8a06a2fad","14728_bible_quest_projector","14728","true","0","Lydia was babysitting 11-year-old Timothy one evening while Timothy’s parents were at a prayer meeting. Lydia noticed that Peter, the next-door neighbor, had left his apartment but","Lydia was babysitting 11-year-old Timothy one evening while Timothy’s parents were at a prayer meeting. Lydia noticed that Peter, the next-door neighbor, had left his apartment but"
"CQ14730.md","14730","31ca29b8-6a31-11f1-a7ad-f9e8a06a2fad","14730_potluck_flight","14730_potluck_flight","true","1","Paul was engaged to marry Mary. One evening after a church potluck, Paul became enraged at the comments of Mary's eight-year-old daughter, Ruth, who was complaining in her usual wa","Question ID: `14730_potluck_flight`
Transformed from: `14730`
Title: *The Potluck Flight*

Paul was engaged to marry Mary. One evening after a church potluck, Paul became enraged a"
"CQ14736.md","14736","31cb9147-6a31-11f1-a7ad-f9e8a06a2fad","14736_camp_van_crossing","14736_camp_van_crossing","true","0","Hannah had paused her personal van at a downtown crosswalk after a choir rehearsal in her home state. Paul, a stranger to her, opened the passenger door, climbed in, and pointed a ","Hannah had paused her personal van at a downtown crosswalk after a choir rehearsal in her home state. Paul, a stranger to her, opened the passenger door, climbed in, and pointed a "
"CQ14904.md","14904","3233c6e0-6a31-11f1-a7ad-f9e8a06a2fad","14904_best_evidence_refresh","14904_best_evidence_refresh","true","0","A church treasurer was charged with embezzling from the congregation's building fund. At trial, a forensic accountant testified that, after the treasurer had been arrested and had ","A church treasurer was charged with embezzling from the congregation's building fund. At trial, a forensic accountant testified that, after the treasurer had been arrested and had "
"CQ16001.md","16001","31ce09d9-6a31-11f1-a7ad-f9e8a06a2fad","16001_seminary_baggage_claim","16001_seminary_baggage_claim","true","0","Mary checked her suitcase for a cross-country flight home from a Christian law-school moot-court retreat. Police had a warrant for Mary's arrest. When the plane landed, a trained p","Mary checked her suitcase for a cross-country flight home from a Christian law-school moot-court retreat. Police had a warrant for Mary's arrest. When the plane landed, a trained p"
"CQ17026.md","17026","3193863a-6a31-11f1-a7ad-f9e8a06a2fad","17026_manger_prop_bundles","17026_manger_prop_bundles","true","0","Esther’s homeschool-supply business bought 40 children’s Bible-story puppet-stage kits from Barnabas under a signed contract. Barnabas also agreed to paint each stage front with a ","Esther’s homeschool-supply business bought 40 children’s Bible-story puppet-stage kits from Barnabas under a signed contract. Barnabas also agreed to paint each stage front with a "
"CQ17058.md","17058","3267203d-6a31-11f1-a7ad-f9e8a06a2fad","17058_advent_honey_parcel","17058_advent_honey_parcel","true","0","Paul owned a narrow riverfront parcel where he kept beehives for the honey cakes his family sold each Advent season. During a family potluck, Paul signed a deed that described the ","Paul owned a narrow riverfront parcel where he kept beehives for the honey cakes his family sold each Advent season. During a family potluck, Paul signed a deed that described the "
"CQ17084.md","17084","31de7a57-6a31-11f1-a7ad-f9e8a06a2fad","17084_five_loaves_bank_records","17084_five_loaves_bank_records","true","0","Esther runs a private business called Five Loaves Puzzle Nights, selling Christian-themed escape-room tickets and devotion journals. Federal agents suspected Esther of wire fraud a","Esther runs a private business called Five Loaves Puzzle Nights, selling Christian-themed escape-room tickets and devotion journals. Federal agents suspected Esther of wire fraud a"
"CQ17110.md","17110","31947c04-6a31-11f1-a7ad-f9e8a06a2fad","17110_sticker_press_guaranty","17110_sticker_press_guaranty","true","0","Mary later failed to pay a commercial print shop for Scripture-memory sticker books. The shop points to a note Esther had sent to Paul, the shop’s owner: “If you print and deliver ","Mary later failed to pay a commercial print shop for Scripture-memory sticker books. The shop points to a note Esther had sent to Paul, the shop’s owner: “If you print and deliver "
"CQ17151.md","17151","31df1ed2-6a31-11f1-a7ad-f9e8a06a2fad","17151_carol_program","17151_carol_program","true","0","At Lydia’s private Advent carol workshop in a rented community hall, Martha voluntarily drinks several cups of spiked wassail. Later, while the group is stacking hymn sheets, she b","Source row: BARMATRIX Q# 17151 tests whether voluntary intoxication is a defense to a general-intent battery, with original key C. 

At Lydia’s private Advent carol workshop in a r"
"CQ17157.md","17157","315e249b-6a31-11f1-a7ad-f9e8a06a2fad","17157_vocational-rehab","17157_vocational-rehab","true","0","A state vocational rehabilitation program provides paid medical leave for workers injured in program-sponsored training. The program excludes leave for disabilities arising from pr","A state vocational rehabilitation program provides paid medical leave for workers injured in program-sponsored training. The program excludes leave for disabilities arising from pr"
"CQ17167.md","17167","315ea861-6a31-11f1-a7ad-f9e8a06a2fad","17167_manger_lights_portal","17167_manger_lights_portal","true","0","Congress enacts a valid federal rule governing interstate shipments of portable Christmas-pageant lighting rigs sold by private vendors. To administer that shipment rule, Congress ","Congress enacts a valid federal rule governing interstate shipments of portable Christmas-pageant lighting rigs sold by private vendors. To administer that shipment rule, Congress "
"CQ17173.md","17173","319573fd-6a31-11f1-a7ad-f9e8a06a2fad","17173_road_to_emmaus_puzzle_quest","17173_road_to_emmaus_puzzle_quest","true","0","Mary, a professional puzzle designer, agreed to design and run a “Road to Emmaus” puzzle quest for Daniel’s private Bible-themed birthday party for a fee of $12,600. Mary completed","Source row reviewed: BarMatrix QID 17173 is a Contracts / Reliance damages item involving full performance of a services contract, an agreed price, a higher reasonable value, and a"
"CQ17979.md","17979","32856184-6a31-11f1-a7ad-f9e8a06a2fad","17979_hannahs_tractor","17979_hannahs_tractor","true","0","Joseph went to Daniel’s farm-equipment resale lot on the edge of town and bought a used 14-horsepower riding lawn tractor for $1,850 to help Hannah mow their long gravel drive and ","Joseph went to Daniel’s farm-equipment resale lot on the edge of town and bought a used 14-horsepower riding lawn tractor for $1,850 to help Hannah mow their long gravel drive and "
"CQ18090.md","18090","31980d30-6a31-11f1-a7ad-f9e8a06a2fad","18090_prayer_journals_price_line","18090_prayer_journals_price_line","true","0","Ruth, who makes handbound prayer journals, and Timothy, who runs a Christian bookstore, signed a written contract for Timothy to buy 160 journals for an upcoming discipleship confe","Ruth, who makes handbound prayer journals, and Timothy, who runs a Christian bookstore, signed a written contract for Timothy to buy 160 journals for an upcoming discipleship confe"
"CQ19177.md","19177","3163fa59-6a31-11f1-a7ad-f9e8a06a2fad","19177_manna_wagon_disposal","19177_manna_wagon_disposal","true","0","In an effort to improve the position of United States companies in the world mobile-disaster-relief catering market, Congress voted to sell twelve surplus federal field-kitchen tra","In an effort to improve the position of United States companies in the world mobile-disaster-relief catering market, Congress voted to sell twelve surplus federal field-kitchen tra"
"CQ19194.md","19194","31644dde-6a31-11f1-a7ad-f9e8a06a2fad","19194_loaves_pages","19194_loaves_pages","true","0","A federal statute provides that, for every federal tax, employee-benefit, grant, and insurance program, the word 'spouse' means only a husband or wife of the opposite sex, and 'mar","A federal statute provides that, for every federal tax, employee-benefit, grant, and insurance program, the word 'spouse' means only a husband or wife of the opposite sex, and 'mar"
"CQ19213.md","19213","3289f5cd-6a31-11f1-a7ad-f9e8a06a2fad","19213_road_to_emmaus_breezeway","19213_road_to_emmaus_breezeway","true","0","Lydia operated Road to Emmaus Puzzles, a for-profit Bible-themed puzzle-room business. She leased a narrow mural breezeway behind the shop as the exit path for paying teams. For si","Lydia operated Road to Emmaus Puzzles, a for-profit Bible-themed puzzle-room business. She leased a narrow mural breezeway behind the shop as the exit path for paying teams. For si"
"CQ19228.md","19228","323b9ac0-6a31-11f1-a7ad-f9e8a06a2fad","19228_prayer_card_study_bible","19228_prayer_card_study_bible","true","0","In a later federal proceeding, the government subpoenas Ruth to authenticate and read a folded prayer-card she alone found while packing her personal study Bible for Naomi’s Psalms","In a later federal proceeding, the government subpoenas Ruth to authenticate and read a folded prayer-card she alone found while packing her personal study Bible for Naomi’s Psalms"
"CQ19250.md","19250","3199fa5d-6a31-11f1-a7ad-f9e8a06a2fad","19250_scripture_card_printer","19250_scripture_card_printer","true","1","To stock her private Bible-conference booth, Lydia leased from Stephen a portable printer that made Scripture-verse cards. The lease made rent due only if Lydia was ""satisfied that","To stock her private Bible-conference booth, Lydia leased from Stephen a portable printer that made Scripture-verse cards. The lease made rent due only if Lydia was “satisfied that"
"CQ19263.md","19263","31f9c833-6a31-11f1-a7ad-f9e8a06a2fad","19263_chapel_handbells","19263_chapel_handbells","true","1","At a private Christian music expo, Lydia tells Paul, a collector of antique chapel handbell sets, that she is the purchasing manager for a well-known Christian retreat center and i","At a private Christian music expo, Lydia tells Paul, a collector of antique chapel handbell sets, that she is the purchasing manager for a well-known Christian retreat center and i"
"CQ19266.md","19266","3147370c-6a31-11f1-a7ad-f9e8a06a2fad","19266_carol_banquet_jmol","19266_carol_banquet_jmol","true","4","In a federal jury trial, Daniel sues Lydia, a private event planner, claiming she breached an agreement to reserve a rented community hall for his Christmas carol banquet. Daniel r","In a federal jury trial, Daniel sues Lydia, a private event planner, claiming she breached an agreement to reserve a rented community hall for his Christmas carol banquet. Daniel r"
"CQ19286.md","19286","31478c83-6a31-11f1-a7ad-f9e8a06a2fad","19286_five_loaves_press","19286_five_loaves_press","true","0","Mary owns Five Loaves Press, a private company that prints Bible-verse memory-card kits for homeschool groups. Ruth sues Five Loaves Press in federal court over a ruined Lent-seaso","Mary owns Five Loaves Press, a private company that prints Bible-verse memory-card kits for homeschool groups. Ruth sues Five Loaves Press in federal court over a ruined Lent-seaso"
"CQ19336.md","19336","31fa9460-6a31-11f1-a7ad-f9e8a06a2fad","19336_nativity_warehouse_rescue","19336_nativity_warehouse_rescue","true","0","Ruth is volunteering in a privately run Christian bookstore’s Christmas-toy sorting warehouse. From the doorway, she sees Daniel yank Timothy backward by the collar and drive him i","Ruth is volunteering in a privately run Christian bookstore’s Christmas-toy sorting warehouse. From the doorway, she sees Daniel yank Timothy backward by the collar and drive him i"
"CQ19379.md","19379","323c02f3-6a31-11f1-a7ad-f9e8a06a2fad","19379_hymn_candle_invoice_van","19379_hymn_candle_invoice_van","true","0","In a federal wire-fraud prosecution against Timothy over online sales from his small Christian-craft booth, the prosecutor plans to call Lydia. Timothy and Lydia finalized their di","In a federal wire-fraud prosecution against Timothy over online sales from his small Christian-craft booth, the prosecutor plans to call Lydia. Timothy and Lydia finalized their di"
"CQ19381.md","19381","326c91b5-6a31-11f1-a7ad-f9e8a06a2fad","19381_shepherd_olive_press_deed","19381_shepherd_olive_press_deed","true","0","Naomi owned a small olive-press parcel behind her bakery. After Lydia completed a private hymn-calligraphy commission for Naomi, Naomi signed and handed Lydia a deed conveying the ","Naomi owned a small olive-press parcel behind her bakery. After Lydia completed a private hymn-calligraphy commission for Naomi, Naomi signed and handed Lydia a deed conveying the "
"CQ19386.md","19386","319a48f8-6a31-11f1-a7ad-f9e8a06a2fad","19386_scripture_audio_cap","19386_scripture_audio_cap","true","0","Hannah spent $26,000 replacing unusable Scripture-memory audio tracks after Lydia, a freelance sound engineer, delivered corrupted masters. The work had been commissioned under Pet","Hannah spent $26,000 replacing unusable Scripture-memory audio tracks after Lydia, a freelance sound engineer, delivered corrupted masters. The work had been commissioned under Pet"
"CQ19430.md","19430","326d1380-6a31-11f1-a7ad-f9e8a06a2fad","19430_harp_instructor_olive_grove","19430_harp_instructor_olive_grove","true","0","Lydia owned a fenced olive grove outside Capernaum. Before leaving for a psalm-singing festival, she signed and delivered a deed stating, “I convey the olive grove to the harp inst","Lydia owned a fenced olive grove outside Capernaum. Before leaving for a psalm-singing festival, she signed and delivered a deed stating, “I convey the olive grove to the harp inst"
"CQ19434.md","19434","328ac639-6a31-11f1-a7ad-f9e8a06a2fad","19434_hymn_hands_stimulator","19434_hymn_hands_stimulator","true","0","Before Lydia played handbells at a community hymn festival, her physician, Stephen, prescribed a prescription-only wrist nerve stimulator to control hand tremors. The stimulator ca","Before Lydia played handbells at a community hymn festival, her physician, Stephen, prescribed a prescription-only wrist nerve stimulator to control hand tremors. The stimulator ca"
"CQ19448.md","19448","328b0995-6a31-11f1-a7ad-f9e8a06a2fad","19448_praise_night_tshirt_cannon","19448_praise_night_tshirt_cannon","true","0","At a rented civic auditorium, Lydia organized a private Christian music night. A vendor left a compressed-air T-shirt cannon for authorized staff to use between songs. Lydia was no","At a rented civic auditorium, Lydia organized a private Christian music night. A vendor left a compressed-air T-shirt cannon for authorized staff to use between songs. Lydia was no"
"CQ19499.md","19499","31fc5832-6a31-11f1-a7ad-f9e8a06a2fad","19499_jericho_chariot_night","19499_jericho_chariot_night","true","0","A state criminalizes an unlicensed paid chariot race between two racers. Peter and John agree to drive such a race at a private Bible-themed harvest fair. Lydia, Ruth, and Barnabas","A state criminalizes an unlicensed paid chariot race between two racers. Peter and John agree to drive such a race at a private Bible-themed harvest fair. Lydia, Ruth, and Barnabas"
"CQ19502.md","19502","3165553e-6a31-11f1-a7ad-f9e8a06a2fad","19502_manna_festival_finals_tax","19502_manna_festival_finals_tax","true","0","After several costly nationwide flood-control projects, Congress enacted the Manna Festival Finals Revenue Act as part of a broader plan to retire federal disaster-recovery debt. F","After several costly nationwide flood-control projects, Congress enacted the Manna Festival Finals Revenue Act as part of a broader plan to retire federal disaster-recovery debt. F"
"CQ19607.md","19607","3165ac9e-6a31-11f1-a7ad-f9e8a06a2fad","19607_cana_hills_bethany_flats","19607_cana_hills_bethany_flats","true","4","The State of Galilee funds its public schools with a statewide foundation grant plus whatever each local district raises through local property taxes. In Cana Hills, a lakeside dis","The State of Galilee funds its public schools with a statewide foundation grant plus whatever each local district raises through local property taxes. In Cana Hills, a lakeside dis"
"CQ19721.md","19721","314a9c77-6a31-11f1-a7ad-f9e8a06a2fad","19721_jonah_whale_float","19721_jonah_whale_float","true","0","Mary, a freelance scenic painter and citizen of State F, sued MannaJoy Props, Inc., a company incorporated in State G with its principal place of business in State H, in federal di","Mary, a freelance scenic painter and citizen of State F, sued MannaJoy Props, Inc., a company incorporated in State G with its principal place of business in State H, in federal di"
"CQ19793.md","19793","314af16e-6a31-11f1-a7ad-f9e8a06a2fad","19793_dove_candle_ledgers","19793_dove_candle_ledgers","true","0","Mary sued Peter in federal district court over a private contract for dove-shaped Christmas Eve candles sold through Peter’s Light of the World craft booth. During discovery, the j","Mary sued Peter in federal district court over a private contract for dove-shaped Christmas Eve candles sold through Peter’s Light of the World craft booth. During discovery, the j"
"CQ19840.md","19840","314b43eb-6a31-11f1-a7ad-f9e8a06a2fad","19840_red_sea_bridge_bolts","19840_red_sea_bridge_bolts","true","0","At Lydia's privately owned Christian bookstore, Ruth was injured when a portable wooden ""Red Sea crossing"" bridge used for a paid Bible-story craft night shifted under her. Ruth su","At Lydia's privately owned Christian bookstore, Ruth was injured when a portable wooden ""Red Sea crossing"" bridge used for a paid Bible-story craft night shifted under her. Ruth su"
"CQ19904.md","19904","326e771b-6a31-11f1-a7ad-f9e8a06a2fad","19904_psalm_orchard_foreclosure_notice","19904_psalm_orchard_foreclosure_notice","true","1","Ruth owned a private orchard cottage where she made Scripture memory cards for sale at weekend markets. To buy a new printing press, Ruth borrowed $74,000 from Barnabas and gave Ba","Ruth owned a private orchard cottage where she made Scripture memory cards for sale at weekend markets. To buy a new printing press, Ruth borrowed $74,000 from Barnabas and gave Ba"
