fileName,liveExternalId,questionChanged,choicesChanged,oldStemSample,newStemSample
"CQ14690.md","14690_bible_study_protected_victim","true","0","BARMATRIX QID: `14690_bible_study_protected_victim`
Transformed from: `14690`

Peter, an 18-year-old, and his 14-year-old girlfriend Ruth met through a neighborhood Bible-study gro","Peter, an 18-year-old, and his 14-year-old girlfriend Ruth met through a neighborhood Bible-study group. They made plans to meet in Peter’s apartment to have sexual intercourse, an"
"CQ14730.md","14730_potluck_flight","true","0","Question ID: `14730_potluck_flight`
Transformed from: `14730`
Title: *The Potluck Flight*

Paul was engaged to marry Mary. One evening after a church potluck, Paul became enraged a","Paul was engaged to marry Mary. One evening after a church potluck, Paul became enraged at the comments of Mary’s eight-year-old daughter, Ruth, who was complaining in her usual wa"
"CQ17151.md","17151_carol_program","true","0","Source row: BARMATRIX Q# 17151 tests whether voluntary intoxication is a defense to a general-intent battery, with original key C. 

At Lydia’s private Advent carol workshop in a r","At Lydia’s private Advent carol workshop in a rented community hall, Martha voluntarily drinks several cups of spiked wassail. Later, while the group is stacking hymn sheets, she b"
"CQ17173.md","17173_road_to_emmaus_puzzle_quest","true","0","Source row reviewed: BarMatrix QID 17173 is a Contracts / Reliance damages item involving full performance of a services contract, an agreed price, a higher reasonable value, and a","Mary, a professional puzzle designer, agreed to design and run a “Road to Emmaus” puzzle quest for Daniel’s private Bible-themed birthday party for a fee of $12,600. Mary completed"
"CQ20153.md","20153_lampstand_labs","true","0","Question ID: `20153_lampstand_labs`
Source row: BARMATRIX Q# 20153, Constitutional Law, official key D. 

Congress enacts the Lampstand Labs Act, which authorizes federal tax funds","Congress enacts the Lampstand Labs Act, which authorizes federal tax funds to buy robotics kits, digital microscopes, and portable planetarium projectors for qualifying private sch"
"CQ20213.md","20213_mercy_pool_reliction","true","0","Final variation title: *Ruth’s Mercy Pool Crescent*

Ruth owns a private olive-grove retreat along the east edge of Mercy Pool, a spring-fed oasis lake where her family holds Sunda","Ruth owns a private olive-grove retreat along the east edge of Mercy Pool, a spring-fed oasis lake where her family holds Sunday hymn picnics. Barnabas owns land on the far west ed"
"CQ20353.md","20353_baptism_tank_burst","true","0","Source row used: BARMATRIX Q# 20353, Civil Procedure, supplemental jurisdiction, defendant counterclaim, official key C. 

Final variation — “The Baptism-Tank Burst at the Handbell","In a federal diversity action, Lydia, a citizen of State A, sues Barnabas, a citizen of State B, for $120,000 after Barnabas’s privately owned portable baptism-tank display burst a"
"CQ20439.md","20439_floating_star_driveway","true","0","Source row: BARMATRIX Q# 20439 is a Torts item with official key B. The supplied original answer set tests the walker’s best tort argument against a professional dog trainer: stric","Timothy was walking on the public sidewalk past Lydia’s house on Saturday morning. Lydia, a professional director of children’s Christmas pageants, was rehearsing a “floating star”"
"CQ20569.md","20569_ark_float","true","0","Source row: BARMATRIX Q#20569, Contracts, Conditions — Express conditions, official key D. The original tested a contract clause stating that an existing license would remain effec","Lydia rented her hand-painted Noah’s Ark parade float to Ruth for a private neighborhood Bible-verse parade. The rental agreement stated, “The float rental remains effective unless"
"CQ20598.md","20598_write_it_on_your_heart","true","0","Source row: BARMATRIX Q# 20598, Torts, Privacy, appropriation of identity. The source row tests whether unauthorized commercial use of a clearly recognizable identity can support a","Ruth is a nationally known Christian calligraphy teacher whose short devotional videos are instantly recognized by her turquoise headscarf, sand-timer necklace, whispery cadence, s"
"CQ20606.md","20606_lydia_festival_venue","true","0","Source row: BarMatrix Q# 20606 is a federal diversity venue question with the official credited answer listing the accident district plus both defendants’ residence districts. 

Fi","Lydia, a worship harpist domiciled in the Northern District of State G, was injured when a propane coffee cart exploded during a privately run Christian music festival in the Centr"
"CQ20627.md","20627_ruth_hymn_poster_contract","true","0","Source row: BARMATRIX Q# 20627, Civil Procedure, Subject Matter Jurisdiction, Diversity — Time of Filing. The supplied row states that both parties were Maine citizens when the com","Daniel was packing his private Scripture-verse printing booth for a Colorado craft fair when Ruth sued him in federal district court. The lawsuit, filed on April 4, was a state-law"
"CQ20638.md","20638_advent_rescue_beacons","true","0","Source row: QID 20638, Constitutional Law, official key B. 

Under authority granted by Congress, the United States Department of Defense hired Barnabas Metalworks, a private Adven","Under authority granted by Congress, the United States Department of Defense hired Barnabas Metalworks, a private Advent-themed shop owned by Lydia, to manufacture rugged rescue-be"
"CQ20717.md","20717_ruths_hymn_recording_procedure","true","0","Source row: BARMATRIX Q# 20717, Torts / Negligence, official key C, with the supplied explanation focusing on missing causation evidence.  

Final Christian variation — `20717_ruth","Ruth, an adult soprano preparing a private Christmas hymns recording, had been treated by an allergist for severe medication sensitivities for four years before undergoing an elect"
"CQ20744.md","20744_bethlehem_loading_lane","true","0","Source row used: BARMATRIX Q#20744, Torts, official key C, asking which foreseeability target controls the taxi driver’s negligence liability. 

Christian variation — final locked ","During setup for a private Christmas Bible-pageant at a rented fairground, Timothy was pushing a handcart stacked with manger scenery when he clipped Lydia and hurried away, leavin"
"CQ21869.md","21869_tiny_house_hymn_sheet","true","0","Source row: QID 21869, Criminal Procedure / Fourth Amendment, tested rule: arrest warrant for a suspect does not by itself authorize entry into a third party’s home without a searc","At Lydia’s tiny house, a private psalm-singing rehearsal has turned into a hymn-sheet stapling contest. Police, holding an arrest warrant for Timothy, get a tip that Timothy is hel"
"CQ21879.md","21879_noahs_ark_puppet_set","true","0","Source row used: BARMATRIX Q# 21879 supplies the original Contract Law stem, four answer choices, official key A, and official explanation identifying the seller’s statement as “an","On April 3, after hearing that Lydia was organizing a neighborhood Bible-story night, Peter sent Lydia a note offering to sell his handmade Noah’s Ark puppet set. Lydia wrote back "
